tipo_celular,module_size,ESF1_MM,ESF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.192,38.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,624.0,0.082,6.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656.0,0.113,45.0,136,8,5.88,2.01 (1.31-2.72),128,94.12,3.29 (3.01-3.57),7.18,4.85
oligodendrocyte progenitor cells 7,4285.0,0.127,36.0,353,20,5.67,1.73 (1.31-2.15),333,94.33,4.06 (3.88-4.24),18.72,7.42
GABA neurons expressing GLU receptors 22,400.0,0.197,50.0,24,0,0.0,NA,24,100.0,2.16 (1.65-2.67),NA,3.58
GLU like neurons 17,1316.0,0.176,87.0,101,2,1.98,2.84 (2.81-2.86),99,98.02,3.06 (2.70-3.42),2.08,3.07
da like neurons 11,853.0,0.054,2.0,133,14,10.53,1.37 (1.09-1.66),119,89.47,3.52 (3.20-3.84),5.36,4.02
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.076,6.0,302,7,2.32,4.19 (2.35-6.04),295,97.68,3.97 (3.75-4.20),10.91,10.65
oligodendrocytes 20,322.0,0.254,88.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402.0,0.213,46.0,455,17,3.74,2.90 (1.92-3.89),438,96.26,4.42 (4.23-4.61),11.77,8.72
astrocytes 8,520.0,0.049,13.0,288,5,1.74,2.97 (1.68-4.25),283,98.26,4.20 (4.00-4.40),6.20,4.66
oligodendrocyte progenitor cells 12,708.0,0.04,7.0,32,1,3.12,1.73 (NA-NA),31,96.88,3.30 (2.47-4.13),3.11,2.58
oligodendrocytes 10,2107.0,0.125,41.0,358,19,5.31,1.60 (1.24-1.96),339,94.69,4.03 (3.84-4.22),23.94,8.66
connective tissue cells 21,101.0,0.267,45.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,458.0,0.162,76.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,87.0,0.224,73.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.224,7.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,1807.0,0.137,35.0,104,17,16.35,1.52 (1.15-1.89),87,83.65,3.15 (2.86-3.45),6.92,5.10
oligodendrocytes 0,2078.0,0.091,10.0,238,4,1.68,1.70 (0.57-2.84),234,98.32,3.68 (3.45-3.90),15.59,4.84
microglia 1,813.0,0.107,38.0,79,4,5.06,5.84 (4.69-7.00),75,94.94,2.94 (2.55-3.33),2.64,8.18
oligodendrocytes 3,357.0,0.065,24.0,127,2,1.57,3.50 (2.18-4.82),125,98.43,3.11 (2.78-3.45),5.69,4.21
oligodendrocytes 2,1630.0,0.084,1.0,154,3,1.95,5.49 (4.18-6.81),151,98.05,3.19 (2.93-3.46),2.87,3.61
