tipo_celular,module_size,RNF150_MM,RNF150_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.276,88.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.142,66.0,166,21,12.65,2.60 (1.92-3.28),145,87.35,3.50 (3.23-3.76),5.49,4.41
oligodendrocyte progenitor cells 7,436.0,0.104,32.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50),NA,4.61
GABA neurons expressing GLU receptors 22,823.0,0.136,23.0,23,2,8.7,2.11 (-0.05-4.28),21,91.3,2.43 (1.64-3.22),2.27,3.53
GLU like neurons 17,489.0,0.096,20.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64),2.25,3.24
da like neurons 11,87.0,0.468,98.0,3,0,0.0,NA,3,100.0,NA,NA,1.68
GABA neurons expressing GABA receptors 13,238.0,0.102,11.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.254,71.0,306,4,1.31,2.01 (0.73-3.30),302,98.69,5.15 (4.89-5.41),4.42,6.74
astrocytes 8,727.0,0.307,100.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,254.0,0.302,58.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08),NA,2.47
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,152.0,0.258,51.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,1401.0,0.118,75.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.106,33.0,124,4,3.23,2.68 (NA-NA),120,96.77,4.20 (3.80-4.60),2.03,3.07
astrocytes microglia 23,253.0,0.239,41.0,47,4,8.51,2.41 (-0.47-5.28),43,91.49,2.87 (2.54-3.20),1.94,3.19
astrocytes 4,514.0,0.189,53.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.199,99.0,161,22,13.66,2.19 (1.52-2.86),139,86.34,3.43 (3.15-3.71),7.30,5.14
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
