tipo_celular,module_size,RPA1_MM,RPA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.208,46.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,477.0,0.206,76.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656.0,0.085,10.0,136,7,5.15,2.90 (1.16-4.64),129,94.85,3.23 (2.96-3.50),6.02,4.93
oligodendrocyte progenitor cells 7,4285.0,0.1,9.0,353,50,14.16,2.25 (1.83-2.66),303,85.84,4.24 (4.06-4.42),24.58,5.34
GABA neurons expressing GLU receptors 22,567.0,0.14,25.0,16,2,12.5,2.09 (1.81-2.36),14,87.5,1.95 (1.17-2.74),1.65,3.92
GLU like neurons 17,1316.0,0.079,12.0,101,1,0.99,2.93 (NA-NA),100,99.01,3.05 (2.70-3.41),2.00,3.06
da like neurons 11,853.0,0.154,65.0,133,31,23.31,1.77 (1.41-2.14),102,76.69,3.79 (3.45-4.13),4.66,4.01
GABA neurons expressing GABA receptors 13,101.0,0.106,6.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,586.0,0.052,2.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,348.0,0.035,9.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,3052.0,0.153,62.0,125,2,1.6,3.13 (2.95-3.30),123,98.4,3.36 (3.03-3.69),3.66,8.69
astrocytes 8,577.0,0.044,12.0,83,1,1.2,NA,82,98.8,3.25 (2.80-3.70),1.81,4.50
oligodendrocyte progenitor cells 12,708.0,0.024,2.0,32,12,37.5,1.73 (0.89-2.57),20,62.5,4.23 (3.26-5.20),3.33,2.16
oligodendrocytes 10,483.0,0.049,9.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,152.0,0.302,69.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,1401.0,0.071,36.0,96,5,5.21,2.22 (1.44-2.99),91,94.79,3.71 (3.24-4.18),6.07,3.67
oligodendrocytes 16,81.0,0.131,18.0,3,0,0.0,NA,3,100.0,NA,NA,2.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.289,39.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,1807.0,0.112,6.0,104,29,27.88,2.03 (1.57-2.49),75,72.12,3.21 (2.89-3.52),10.42,3.45
oligodendrocytes 0,2078.0,0.119,59.0,238,10,4.2,3.25 (2.00-4.51),228,95.8,3.66 (3.43-3.88),6.04,4.98
microglia 1,1615.0,0.075,6.0,161,44,27.33,2.41 (1.90-2.92),117,72.67,3.69 (3.41-3.96),10.07,3.69
oligodendrocytes 3,1003.0,0.046,4.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.133,32.0,154,1,0.65,3.22 (NA-NA),153,99.35,3.24 (2.98-3.51),2.89,3.60
