tipo_celular,module_size,FGFR1OP2_MM,FGFR1OP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.166,21.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,727.0,0.15,55.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1656.0,0.143,90.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.188,99.0,353,5,1.42,1.45 (0.29-2.61),348,98.58,3.93 (3.75-4.12),33.53,7.70
GABA neurons expressing GLU receptors 22,823.0,0.196,61.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,380.0,0.221,82.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,1220.0,0.103,17.0,410,1,0.24,0.55 (NA-NA),409,99.76,4.26 (4.07-4.45),11.45,7.51
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.091,37.0,275,6,2.18,1.58 (0.60-2.57),269,97.82,4.03 (3.77-4.29),7.52,5.85
oligodendrocytes 20,938.0,0.05,13.0,169,1,0.59,0.55 (NA-NA),168,99.41,3.50 (3.29-3.72),3.86,5.37
GABA like neurons 14,3052.0,0.155,64.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771.0,0.09,37.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,708.0,0.114,51.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84),NA,2.54
oligodendrocytes 10,2107.0,0.18,62.0,358,5,1.4,1.45 (0.29-2.61),353,98.6,3.91 (3.71-4.10),30.62,9.17
connective tissue cells 21,73.0,0.291,52.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.163,59.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,74.0,0.146,16.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA),NA,1.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.272,34.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.182,95.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,1186.0,0.151,61.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,958.0,0.122,66.0,290,1,0.34,2.27 (NA-NA),289,99.66,3.82 (3.59-4.05),1.86,5.01
oligodendrocytes 3,854.0,0.107,70.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11),NA,4.72
oligodendrocytes 2,804.0,0.174,73.0,84,1,1.19,0.95 (NA-NA),83,98.81,2.71 (2.38-3.05),3.05,3.40
