tipo_celular,module_size,KLF7_MM,KLF7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.133,32.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.138,41.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,4285.0,0.108,15.0,353,67,18.98,2.26 (2.00-2.53),286,81.02,4.42 (4.24-4.60),18.95,5.51
GABA neurons expressing GLU receptors 22,599.0,0.258,72.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,637.0,0.109,26.0,91,17,18.68,2.03 (1.27-2.78),74,81.32,5.39 (4.94-5.84),3.27,3.01
da like neurons 11,132.0,0.337,73.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.176,49.0,141,19,13.48,3.24 (2.37-4.11),122,86.52,2.92 (2.68-3.16),3.11,7.40
oligodendrocytes 20,221.0,0.137,23.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,3052.0,0.082,9.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577.0,0.151,82.0,83,3,3.61,1.55 (0.88-2.21),80,96.39,3.33 (2.87-3.79),1.94,4.57
oligodendrocyte progenitor cells 12,3303.0,0.123,91.0,276,50,18.12,2.16 (1.92-2.40),226,81.88,3.97 (3.73-4.21),9.18,4.21
oligodendrocytes 10,1277.0,0.132,66.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,118.0,0.185,4.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,1768.0,0.08,45.0,105,21,20.0,1.76 (1.37-2.15),84,80.0,3.61 (3.25-3.98),6.12,3.44
oligodendrocytes 16,112.0,0.188,64.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,553.0,0.116,41.0,124,2,1.61,2.17 (-1.29-5.63),122,98.39,4.23 (3.84-4.62),3.00,3.03
astrocytes microglia 23,190.0,0.189,6.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,514.0,0.161,36.0,95,7,7.37,2.78 (0.88-4.69),88,92.63,3.43 (3.01-3.85),2.83,4.78
oligodendrocytes 0,1186.0,0.17,86.0,300,20,6.67,3.41 (3.03-3.79),280,93.33,3.83 (3.61-4.05),4.98,4.10
microglia 1,346.0,0.177,65.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,639.0,0.123,70.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,347.0,0.26,74.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
