tipo_celular,module_size,ARL15_MM,ARL15_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.222,75.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,388.0,0.116,28.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,1656.0,0.124,63.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.137,53.0,353,4,1.13,0.85 (0.13-1.57),349,98.87,3.93 (3.75-4.12),33.33,7.77
GABA neurons expressing GLU receptors 22,459.0,0.128,34.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41),NA,4.09
GLU like neurons 17,685.0,0.159,64.0,135,6,4.44,1.87 (-0.72-4.45),129,95.56,3.21 (2.91-3.52),6.26,3.63
da like neurons 11,137.0,0.359,80.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA),NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.402,93.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92),NA,3.65
oligodendrocytes 20,233.0,0.2,54.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,1300.0,0.168,31.0,306,1,0.33,1.95 (NA-NA),305,99.67,5.11 (4.84-5.37),2.69,6.72
astrocytes 8,727.0,0.168,81.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,218.0,0.232,46.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,2107.0,0.472,99.0,358,4,1.12,0.85 (0.13-1.57),354,98.88,3.91 (3.71-4.10),28.48,9.26
connective tissue cells 21,106.0,0.198,7.0,9,0,0.0,NA,9,100.0,3.76 (1.20-6.32),NA,2.28
astrocytes 15,261.0,0.156,54.0,8,1,12.5,0.39 (NA-NA),7,87.5,4.23 (2.19-6.27),1.49,1.88
oligodendrocytes 16,87.0,0.262,89.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.372,73.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63),NA,3.24
astrocytes 4,787.0,0.111,3.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,1186.0,0.126,23.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,315.0,0.193,63.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77),NA,4.21
oligodendrocytes 3,681.0,0.137,80.0,87,3,3.45,1.01 (0.08-1.93),84,96.55,2.64 (2.37-2.92),4.20,4.24
oligodendrocytes 2,347.0,0.19,48.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
