tipo_celular,module_size,USP42_MM,USP42_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.274,98.0,71,2,2.82,1.71 (-1.24-4.67),69,97.18,2.65 (2.24-3.07),1.77,3.63
T cells 18,477.0,0.146,40.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656.0,0.106,35.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49),5.11,4.99
oligodendrocyte progenitor cells 7,4285.0,0.141,60.0,353,28,7.93,1.86 (1.37-2.35),325,92.07,4.10 (3.92-4.28),34.29,5.80
GABA neurons expressing GLU receptors 22,567.0,0.053,2.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,1247.0,0.118,37.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,140.0,0.209,44.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.11,36.0,297,6,2.02,3.46 (2.38-4.54),291,97.98,3.68 (3.47-3.88),7.36,5.48
oligodendrocytes 20,228.0,0.311,84.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA),2.65,1.72
GABA like neurons 14,2090.0,0.248,94.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,283.0,0.115,37.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.053,18.0,276,23,8.33,2.37 (1.77-2.97),253,91.67,3.67 (3.45-3.90),16.12,4.11
oligodendrocytes 10,2107.0,0.092,25.0,358,33,9.22,1.91 (1.39-2.44),325,90.78,4.11 (3.92-4.29),32.46,7.14
connective tissue cells 21,100.0,0.303,57.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,261.0,0.178,68.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25),1.67,1.92
oligodendrocytes 16,121.0,0.178,25.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,70.0,0.342,57.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.53
astrocytes 4,1807.0,0.158,74.0,104,19,18.27,2.00 (1.50-2.49),85,81.73,3.08 (2.76-3.39),13.14,3.67
oligodendrocytes 0,2078.0,0.116,53.0,238,12,5.04,3.59 (2.38-4.81),226,94.96,3.64 (3.41-3.86),6.92,4.92
microglia 1,1615.0,0.081,11.0,161,25,15.53,1.86 (1.35-2.37),136,84.47,3.60 (3.33-3.88),15.34,3.61
oligodendrocytes 3,357.0,0.095,51.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,1630.0,0.137,41.0,154,2,1.3,NA,152,98.7,3.24 (2.98-3.51),1.94,3.61
