tipo_celular,module_size,DOCK5_MM,DOCK5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.263,82.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,349.0,0.515,93.0,68,7,10.29,2.58 (1.17-4.00),61,89.71,4.65 (4.08-5.21),2.54,3.40
astrocytes 5,156.0,0.325,95.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,229.0,0.301,85.0,45,5,11.11,4.95 (4.77-5.12),40,88.89,5.01 (4.29-5.73),3.03,5.65
GABA neurons expressing GLU receptors 22,567.0,0.735,100.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637.0,0.42,93.0,91,14,15.38,2.86 (1.84-3.88),77,84.62,4.90 (4.35-5.46),2.53,3.15
da like neurons 11,408.0,0.732,100.0,25,5,20.0,0.98 (0.44-1.52),20,80.0,5.82 (4.60-7.04),2.09,2.32
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.641,95.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,676.0,0.437,72.0,110,18,16.36,3.52 (2.57-4.46),92,83.64,5.31 (4.84-5.79),2.67,3.69
GABA like neurons 14,3052.0,0.069,5.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68),1.60,8.67
astrocytes 8,771.0,0.326,83.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.56,98.0,25,3,12.0,3.51 (0.27-6.75),22,88.0,2.76 (1.72-3.80),2.01,2.61
oligodendrocytes 10,204.0,0.506,78.0,92,7,7.61,3.15 (1.93-4.37),85,92.39,5.84 (5.38-6.31),4.04,3.69
connective tissue cells 21,250.0,0.183,13.0,117,19,16.24,3.60 (3.02-4.18),98,83.76,5.81 (5.40-6.23),3.03,3.88
astrocytes 15,208.0,0.422,80.0,4,1,25.0,3.56 (NA-NA),3,75.0,2.90 (-0.92-6.72),1.75,3.17
oligodendrocytes 16,287.0,0.129,8.0,105,27,25.71,3.95 (3.01-4.89),78,74.29,5.56 (5.12-6.00),3.16,3.57
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,122.0,0.26,37.0,46,1,2.17,5.24 (NA-NA),45,97.83,5.03 (4.45-5.60),2.53,3.23
astrocytes 4,161.0,0.304,90.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91),NA,3.11
oligodendrocytes 0,187.0,0.262,83.0,14,1,7.14,7.18 (NA-NA),13,92.86,5.39 (4.79-5.98),2.14,2.51
microglia 1,127.0,0.19,53.0,24,3,12.5,3.15 (1.93-4.37),21,87.5,5.55 (4.88-6.21),2.43,2.48
oligodendrocytes 3,681.0,0.202,96.0,87,5,5.75,2.14 (0.92-3.36),82,94.25,2.61 (2.33-2.89),3.78,4.27
oligodendrocytes 2,348.0,0.466,98.0,114,20,17.54,4.04 (3.55-4.53),94,82.46,5.47 (4.98-5.96),4.81,4.30
