tipo_celular,module_size,ZFYVE9_MM,ZFYVE9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.099,36.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06),1.90,4.33
oligodendrocyte progenitor cells 7,666.0,0.123,18.0,127,12,9.45,2.37 (1.67-3.07),115,90.55,4.07 (3.72-4.42),3.99,6.03
GABA neurons expressing GLU receptors 22,1069.0,0.136,28.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247.0,0.193,81.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,200.0,0.307,83.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,238.0,0.14,33.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,1653.0,0.142,62.0,297,1,0.34,NA,296,99.66,3.67 (3.47-3.88),1.91,5.53
oligodendrocytes 20,233.0,0.2,54.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,1300.0,0.284,83.0,306,15,4.9,1.84 (1.41-2.28),291,95.1,5.35 (5.10-5.60),4.40,6.83
astrocytes 8,1266.0,0.069,36.0,66,10,15.15,1.47 (0.46-2.48),56,84.85,3.60 (3.21-3.99),3.88,2.79
oligodendrocyte progenitor cells 12,3303.0,0.106,80.0,276,14,5.07,2.15 (1.57-2.73),262,94.93,3.64 (3.42-3.86),10.15,4.84
oligodendrocytes 10,806.0,0.066,13.0,261,13,4.98,2.76 (2.25-3.26),248,95.02,4.48 (4.23-4.73),10.02,5.86
connective tissue cells 21,139.0,0.231,19.0,6,1,16.67,NA,5,83.33,1.24 (-0.25-2.73),1.37,2.18
astrocytes 15,367.0,0.156,58.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05),1.87,3.39
oligodendrocytes 16,94.0,0.172,28.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06),NA,1.87
da neurons 6,448.0,0.106,56.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,109.0,0.317,57.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.137,24.0,61,1,1.64,5.10 (NA-NA),60,98.36,2.93 (2.52-3.34),1.48,6.10
oligodendrocytes 0,2078.0,0.127,77.0,238,5,2.1,2.47 (1.10-3.84),233,97.9,3.67 (3.44-3.89),8.95,4.94
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.056,13.0,87,6,6.9,1.31 (0.34-2.28),81,93.1,2.69 (2.41-2.96),6.02,4.11
oligodendrocytes 2,921.0,0.121,23.0,200,7,3.5,2.95 (2.11-3.80),193,96.5,3.65 (3.38-3.93),4.48,3.43
