tipo_celular,module_size,NBN_MM,NBN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.105,2.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,518.0,0.067,2.0,131,3,2.29,2.98 (1.14-4.81),128,97.71,3.08 (2.80-3.35),2.42,4.81
astrocytes 5,1656.0,0.128,71.0,136,6,4.41,3.45 (1.58-5.31),130,95.59,3.20 (2.93-3.47),4.08,5.03
oligodendrocyte progenitor cells 7,4285.0,0.164,89.0,353,64,18.13,2.40 (2.06-2.73),289,81.87,4.33 (4.15-4.51),19.70,5.49
GABA neurons expressing GLU receptors 22,823.0,0.226,78.0,23,4,17.39,2.38 (1.03-3.73),19,82.61,2.40 (1.55-3.24),2.30,3.66
GLU like neurons 17,1316.0,0.13,56.0,101,4,3.96,2.93 (2.84-3.01),97,96.04,3.06 (2.69-3.42),2.25,3.09
da like neurons 11,108.0,0.06,2.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.064,4.0,297,24,8.08,3.93 (3.43-4.43),273,91.92,3.65 (3.43-3.87),4.73,5.59
oligodendrocytes 20,228.0,0.399,94.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA),2.65,1.72
GABA like neurons 14,3052.0,0.238,99.0,125,3,2.4,3.08 (2.95-3.22),122,97.6,3.36 (3.03-3.69),4.23,8.72
astrocytes 8,727.0,0.088,38.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90),4.08,3.53
oligodendrocyte progenitor cells 12,3303.0,0.049,14.0,276,48,17.39,2.30 (2.03-2.58),228,82.61,3.90 (3.65-4.14),9.88,4.11
oligodendrocytes 10,2107.0,0.068,12.0,358,84,23.46,2.57 (2.26-2.89),274,76.54,4.41 (4.22-4.60),18.46,6.72
connective tissue cells 21,111.0,0.428,99.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.024,2.0,105,23,21.9,1.71 (1.38-2.04),82,78.1,3.65 (3.29-4.02),6.56,3.25
oligodendrocytes 16,113.0,0.242,72.0,10,4,40.0,3.49 (1.58-5.40),6,60.0,2.57 (2.07-3.07),2.56,1.44
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,96.0,0.455,95.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,1807.0,0.135,32.0,104,25,24.04,1.80 (1.41-2.19),79,75.96,3.22 (2.90-3.53),11.25,3.55
oligodendrocytes 0,2078.0,0.118,57.0,238,16,6.72,3.17 (2.44-3.91),222,93.28,3.68 (3.45-3.91),5.14,5.01
microglia 1,1615.0,0.09,22.0,161,54,33.54,2.50 (2.08-2.92),107,66.46,3.79 (3.49-4.09),9.21,3.52
oligodendrocytes 3,1003.0,0.078,31.0,111,2,1.8,3.44 (2.01-4.87),109,98.2,3.30 (2.95-3.65),1.77,4.28
oligodendrocytes 2,1630.0,0.146,59.0,154,4,2.6,3.42 (2.73-4.12),150,97.4,3.24 (2.97-3.51),2.35,3.63
