tipo_celular,module_size,RBM28_MM,RBM28_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172.0,0.094,8.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93),NA,3.57
T cells 18,393.0,0.101,12.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,1141.0,0.095,9.0,166,9,5.42,1.69 (1.15-2.24),157,94.58,3.51 (3.25-3.76),11.69,4.14
oligodendrocyte progenitor cells 7,4285.0,0.161,87.0,353,17,4.82,1.60 (1.04-2.16),336,95.18,4.04 (3.86-4.22),37.82,6.56
GABA neurons expressing GLU receptors 22,703.0,0.137,23.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,489.0,0.083,13.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,140.0,0.164,29.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.096,24.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,228.0,0.218,56.0,5,1,20.0,0.26 (NA-NA),4,80.0,4.00 (1.97-6.04),2.19,2.53
GABA like neurons 14,3052.0,0.114,28.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,283.0,0.13,46.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.093,67.0,276,11,3.99,1.88 (1.41-2.36),265,96.01,3.63 (3.41-3.85),16.39,4.64
oligodendrocytes 10,2107.0,0.117,37.0,358,17,4.75,1.60 (1.04-2.16),341,95.25,4.01 (3.83-4.20),41.56,7.87
connective tissue cells 21,110.0,0.423,96.0,13,0,0.0,NA,13,100.0,3.11 (2.29-3.94),NA,1.70
astrocytes 15,1768.0,0.158,93.0,105,8,7.62,1.83 (1.24-2.42),97,92.38,3.34 (2.99-3.69),9.64,3.51
oligodendrocytes 16,90.0,0.211,49.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09),NA,1.80
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,132.0,0.288,38.0,1,0,0.0,NA,1,100.0,NA,NA,2.03
astrocytes 4,721.0,0.158,63.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078.0,0.124,70.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86),NA,5.02
microglia 1,813.0,0.069,3.0,79,1,1.27,4.40 (NA-NA),78,98.73,3.08 (2.68-3.49),3.77,7.95
oligodendrocytes 3,681.0,0.066,22.0,87,10,11.49,1.58 (1.04-2.12),77,88.51,2.73 (2.44-3.01),8.49,3.69
oligodendrocytes 2,921.0,0.108,10.0,200,1,0.5,3.22 (NA-NA),199,99.5,3.62 (3.36-3.89),13.88,3.41
