tipo_celular,module_size,FBRSL1_MM,FBRSL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.292,91.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,518.0,0.154,50.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,932.0,0.132,79.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.176,96.0,353,4,1.13,1.64 (0.53-2.75),349,98.87,3.92 (3.74-4.11),13.95,8.00
GABA neurons expressing GLU receptors 22,599.0,0.117,9.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,300.0,0.225,80.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,265.0,0.117,19.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.093,21.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,295.0,0.256,76.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,2090.0,0.144,43.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,260.0,0.092,29.0,4,0,0.0,NA,4,100.0,1.99 (0.00-3.99),NA,2.09
oligodendrocyte progenitor cells 12,708.0,0.125,57.0,32,0,0.0,NA,32,100.0,3.25 (2.44-4.05),NA,2.60
oligodendrocytes 10,2107.0,0.152,52.0,358,4,1.12,1.64 (0.53-2.75),354,98.88,3.89 (3.70-4.09),13.43,9.43
connective tissue cells 21,111.0,0.296,54.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.057,23.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,71.0,0.075,2.0,1,0,0.0,NA,1,100.0,3.52 (NA-NA),NA,1.65
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,121.0,0.356,79.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,721.0,0.165,76.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078.0,0.124,69.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86),NA,5.02
microglia 1,480.0,0.124,13.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,681.0,0.075,31.0,87,1,1.15,0.55 (NA-NA),86,98.85,2.61 (2.34-2.88),2.53,4.26
oligodendrocytes 2,1630.0,0.163,89.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
