tipo_celular,module_size,RCAN2_MM,RCAN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.241,77.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31),NA,4.34
astrocytes 5,228.0,0.252,79.0,266,5,1.88,0.50 (0.27-0.74),261,98.12,4.20 (4.00-4.40),7.15,4.94
oligodendrocyte progenitor cells 7,296.0,0.144,26.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30),NA,6.15
GABA neurons expressing GLU receptors 22,823.0,0.218,75.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,795.0,0.167,67.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,77.0,0.272,48.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,7.10
GABA neurons expressing GABA receptors 13,266.0,0.202,71.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,303.0,0.444,92.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,676.0,0.379,65.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58),3.60,3.52
GABA like neurons 14,1300.0,0.014,1.0,306,12,3.92,2.01 (1.33-2.70),294,96.08,5.27 (5.01-5.52),5.32,6.76
astrocytes 8,520.0,0.298,87.0,288,0,0.0,NA,288,100.0,4.17 (3.97-4.37),NA,4.69
oligodendrocyte progenitor cells 12,708.0,0.196,76.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,806.0,0.542,97.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,78.0,0.238,43.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,458.0,0.273,90.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,153.0,0.231,14.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,307.0,0.142,68.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,39.0,0.248,16.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,157.0,0.181,51.0,178,5,2.81,0.50 (0.27-0.74),173,97.19,4.29 (4.04-4.54),4.69,4.49
oligodendrocytes 0,261.0,0.226,79.0,42,4,9.52,0.97 (0.80-1.14),38,90.48,4.50 (3.87-5.14),2.19,2.28
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,116.0,0.247,27.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96),1.62,1.41
oligodendrocytes 2,237.0,0.204,45.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
