tipo_celular,module_size,RCL1_MM,RCL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.203,46.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.122,69.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.157,82.0,353,37,10.48,1.92 (1.49-2.34),316,89.52,4.20 (4.02-4.38),28.39,5.68
GABA neurons expressing GLU receptors 22,714.0,0.315,93.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94),2.48,4.02
GLU like neurons 17,1316.0,0.074,10.0,101,3,2.97,2.73 (2.53-2.94),98,97.03,3.06 (2.70-3.43),2.39,3.07
da like neurons 11,94.0,0.257,55.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.168,35.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92),NA,3.65
oligodendrocytes 20,295.0,0.278,80.0,28,2,7.14,1.89 (0.99-2.80),26,92.86,2.22 (1.72-2.71),1.88,3.16
GABA like neurons 14,2090.0,0.062,2.0,74,7,9.46,1.97 (1.61-2.33),67,90.54,3.04 (2.64-3.45),3.73,11.21
astrocytes 8,727.0,0.061,18.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,708.0,0.133,60.0,32,6,18.75,0.64 (0.21-1.08),26,81.25,3.96 (3.16-4.75),4.27,2.21
oligodendrocytes 10,2107.0,0.221,75.0,358,36,10.06,1.85 (1.44-2.27),322,89.94,4.18 (3.99-4.36),33.55,6.78
connective tissue cells 21,104.0,0.198,12.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09),NA,1.73
astrocytes 15,1768.0,0.084,48.0,105,17,16.19,1.51 (1.14-1.87),88,83.81,3.58 (3.22-3.93),7.92,3.22
oligodendrocytes 16,116.0,0.16,20.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,124.0,0.265,22.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,787.0,0.139,28.0,65,2,3.08,4.01 (1.74-6.28),63,96.92,2.92 (2.52-3.32),2.09,5.86
oligodendrocytes 0,2078.0,0.124,70.0,238,7,2.94,2.81 (1.46-4.16),231,97.06,3.67 (3.44-3.89),11.26,4.83
microglia 1,813.0,0.117,52.0,79,7,8.86,5.44 (4.70-6.19),72,91.14,2.85 (2.46-3.24),3.34,8.35
oligodendrocytes 3,854.0,0.082,40.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,804.0,0.143,39.0,84,5,5.95,1.21 (0.41-2.02),79,94.05,2.81 (2.47-3.15),3.25,3.41
