tipo_celular,module_size,MAPK6_MM,MAPK6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.064,2.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,932.0,0.112,54.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,4285.0,0.139,56.0,353,30,8.5,2.14 (1.63-2.64),323,91.5,4.11 (3.92-4.29),32.25,5.82
GABA neurons expressing GLU receptors 22,714.0,0.085,4.0,17,6,35.29,2.69 (2.26-3.13),11,64.71,2.10 (1.23-2.96),2.40,4.20
GLU like neurons 17,1247.0,0.141,56.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21),2.39,3.25
da like neurons 11,204.0,0.169,40.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,200.0,0.209,84.0,34,1,2.94,3.65 (NA-NA),33,97.06,3.90 (2.98-4.81),2.02,3.53
endothelial cells 9,412.0,0.071,5.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25),7.11,6.81
oligodendrocytes 20,221.0,0.214,57.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2402.0,0.231,51.0,455,17,3.74,1.35 (0.87-1.84),438,96.26,4.51 (4.33-4.68),27.40,8.11
astrocytes 8,577.0,0.047,16.0,83,4,4.82,2.38 (1.36-3.40),79,95.18,3.31 (2.84-3.78),2.74,4.56
oligodendrocyte progenitor cells 12,708.0,0.053,12.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,806.0,0.028,2.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,78.0,0.279,59.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,261.0,0.146,49.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25),1.67,1.92
oligodendrocytes 16,92.0,0.249,71.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.139,79.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,108.0,0.423,87.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
astrocytes 4,721.0,0.147,42.0,61,1,1.64,4.07 (NA-NA),60,98.36,2.95 (2.53-3.36),1.34,6.10
oligodendrocytes 0,1186.0,0.106,7.0,300,6,2.0,4.09 (3.83-4.36),294,98.0,3.79 (3.57-4.00),7.91,4.08
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.076,28.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921.0,0.11,12.0,200,1,0.5,1.96 (NA-NA),199,99.5,3.63 (3.37-3.90),7.22,3.44
