tipo_celular,module_size,KIF3C_MM,KIF3C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172.0,0.14,34.0,140,8,5.71,4.91 (3.81-6.01),132,94.29,4.48 (4.03-4.92),3.14,3.60
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,228.0,0.149,36.0,266,32,12.03,3.58 (2.73-4.44),234,87.97,4.18 (3.97-4.39),4.36,5.06
oligodendrocyte progenitor cells 7,296.0,0.109,9.0,251,17,6.77,5.11 (4.37-5.86),234,93.23,4.01 (3.76-4.25),3.39,6.35
GABA neurons expressing GLU receptors 22,400.0,0.116,9.0,24,7,29.17,0.98 (0.13-1.83),17,70.83,2.64 (2.17-3.11),6.00,2.58
GLU like neurons 17,1247.0,0.304,99.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,1220.0,0.212,61.0,410,13,3.17,4.09 (1.78-6.40),397,96.83,4.25 (4.06-4.44),5.81,7.57
GABA neurons expressing GABA receptors 13,266.0,0.148,44.0,118,8,6.78,5.76 (4.74-6.79),110,93.22,4.68 (4.31-5.05),3.48,4.03
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,228.0,0.016,2.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45),3.04,1.60
GABA like neurons 14,2090.0,0.173,63.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,520.0,0.201,70.0,288,19,6.6,4.19 (2.98-5.40),269,93.4,4.17 (3.97-4.37),4.10,4.73
oligodendrocyte progenitor cells 12,3303.0,0.132,95.0,276,8,2.9,2.20 (1.19-3.20),268,97.1,3.59 (3.37-3.81),8.77,5.00
oligodendrocytes 10,806.0,0.417,91.0,261,17,6.51,5.05 (4.38-5.72),244,93.49,4.33 (4.08-4.58),4.82,6.15
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.077,43.0,96,6,6.25,3.54 (2.29-4.79),90,93.75,3.62 (3.14-4.10),5.09,3.71
oligodendrocytes 16,313.0,0.255,62.0,291,18,6.19,4.63 (3.61-5.64),273,93.81,4.31 (4.08-4.54),3.26,3.85
da neurons 6,553.0,0.194,83.0,124,6,4.84,4.09 (-0.04-8.22),118,95.16,4.19 (3.80-4.57),2.98,3.03
astrocytes microglia 23,114.0,0.271,29.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,157.0,0.149,25.0,178,22,12.36,3.68 (2.71-4.64),156,87.64,4.22 (3.95-4.50),3.88,4.59
oligodendrocytes 0,116.0,0.146,43.0,169,5,2.96,5.76 (4.74-6.79),164,97.04,4.21 (3.91-4.51),4.74,6.54
microglia 1,214.0,0.168,47.0,227,11,4.85,4.95 (4.25-5.65),216,95.15,4.04 (3.79-4.28),3.15,6.27
oligodendrocytes 3,457.0,0.166,72.0,345,18,5.22,5.00 (4.30-5.70),327,94.78,4.24 (4.03-4.46),3.31,5.82
oligodendrocytes 2,99.0,0.189,36.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26),NA,7.24
