tipo_celular,module_size,CHPT1_MM,CHPT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.148,19.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,388.0,0.11,25.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,222.0,0.228,60.0,98,1,1.02,0.79 (NA-NA),97,98.98,4.65 (4.24-5.05),1.51,2.66
oligodendrocyte progenitor cells 7,4285.0,0.149,71.0,353,29,8.22,2.43 (1.72-3.15),324,91.78,4.06 (3.88-4.24),22.36,6.78
GABA neurons expressing GLU receptors 22,400.0,0.19,46.0,24,8,33.33,0.96 (0.33-1.58),16,66.67,2.75 (2.27-3.24),5.62,2.56
GLU like neurons 17,1316.0,0.164,81.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,265.0,0.198,55.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93),1.55,1.82
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.152,35.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,322.0,0.02,1.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.24,99.0,125,3,2.4,5.77 (5.72-5.82),122,97.6,3.28 (2.96-3.60),1.84,8.78
astrocytes 8,279.0,0.381,98.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73),NA,2.71
oligodendrocyte progenitor cells 12,218.0,0.13,33.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA,2.31,NA
oligodendrocytes 10,2107.0,0.201,70.0,358,22,6.15,1.50 (0.93-2.08),336,93.85,4.07 (3.89-4.26),24.44,8.49
connective tissue cells 21,111.0,0.274,46.0,26,2,7.69,2.60 (2.45-2.75),24,92.31,2.52 (1.78-3.25),3.01,2.10
astrocytes 15,418.0,0.399,83.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17),4.84,2.98
oligodendrocytes 16,85.0,0.161,15.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,49.0,0.22,9.0,1,0,0.0,NA,1,100.0,6.09 (NA-NA),NA,1.31
astrocytes 4,220.0,0.133,28.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69),NA,3.29
oligodendrocytes 0,1186.0,0.113,11.0,300,2,0.67,3.60 (3.24-3.95),298,99.33,3.79 (3.59-4.00),7.41,4.13
microglia 1,1615.0,0.161,93.0,161,16,9.94,1.32 (0.75-1.89),145,90.06,3.54 (3.28-3.80),12.53,4.65
oligodendrocytes 3,94.0,0.132,66.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,1630.0,0.118,12.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
