tipo_celular,module_size,SPRED2_MM,SPRED2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.141,36.0,32,2,6.25,3.12 (2.26-3.98),30,93.75,3.77 (2.94-4.61),4.70,3.54
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.099,13.0,80,3,3.75,3.37 (1.09-5.65),77,96.25,3.40 (2.92-3.89),2.70,5.11
oligodendrocyte progenitor cells 7,448.0,0.141,50.0,108,1,0.93,8.28 (NA-NA),107,99.07,3.19 (2.77-3.62),2.15,17.26
GABA neurons expressing GLU receptors 22,1069.0,0.163,49.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,489.0,0.229,84.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,102.0,0.355,80.0,8,3,37.5,2.36 (0.98-3.74),5,62.5,NA,2.29,1.70
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.17,79.0,297,4,1.35,3.38 (2.71-4.04),293,98.65,3.68 (3.47-3.88),5.09,5.52
oligodendrocytes 20,253.0,0.056,14.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,3052.0,0.192,89.0,125,2,1.6,3.02 (2.98-3.06),123,98.4,3.36 (3.03-3.69),4.99,8.67
astrocytes 8,577.0,0.068,36.0,83,7,8.43,2.83 (1.81-3.86),76,91.57,3.30 (2.81-3.79),2.13,4.69
oligodendrocyte progenitor cells 12,138.0,0.508,75.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,2107.0,0.137,46.0,358,30,8.38,2.14 (1.66-2.63),328,91.62,4.07 (3.88-4.26),17.79,8.71
connective tissue cells 21,152.0,0.218,26.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,338.0,0.105,15.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,108.0,0.146,29.0,5,2,40.0,3.01 (1.93-4.08),3,60.0,4.62 (3.54-5.69),1.70,3.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,46.0,0.209,23.0,73,0,0.0,NA,73,100.0,4.07 (3.76-4.38),NA,5.27
astrocytes 4,201.0,0.162,42.0,18,8,44.44,3.50 (3.09-3.91),10,55.56,5.34 (4.00-6.68),3.07,3.11
oligodendrocytes 0,187.0,0.242,79.0,14,1,7.14,NA,13,92.86,5.53 (4.92-6.14),1.74,2.55
microglia 1,958.0,0.147,88.0,290,19,6.55,2.84 (2.25-3.43),271,93.45,3.90 (3.66-4.14),4.84,5.01
oligodendrocytes 3,187.0,0.162,77.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,1630.0,0.114,8.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
