tipo_celular,module_size,USF3_MM,USF3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.183,58.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,610.0,0.146,46.0,98,18,18.37,1.98 (1.57-2.39),80,81.63,3.41 (3.06-3.76),2.65,4.35
astrocytes 5,1656.0,0.11,41.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57),7.46,4.87
oligodendrocyte progenitor cells 7,4285.0,0.143,62.0,353,36,10.2,2.06 (1.79-2.33),317,89.8,4.17 (3.98-4.36),12.21,7.59
GABA neurons expressing GLU receptors 22,703.0,0.208,62.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,795.0,0.059,5.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,289.0,0.151,36.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.104,30.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,348.0,0.119,47.0,33,1,3.03,2.74 (NA-NA),32,96.97,2.73 (2.23-3.24),1.87,3.43
GABA like neurons 14,3052.0,0.115,29.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,354.0,0.117,48.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303.0,0.05,15.0,276,34,12.32,1.93 (1.69-2.18),242,87.68,3.85 (3.62-4.08),5.83,5.01
oligodendrocytes 10,2107.0,0.068,12.0,358,45,12.57,2.04 (1.80-2.29),313,87.43,4.23 (4.04-4.43),17.22,8.36
connective tissue cells 21,95.0,0.336,78.0,4,3,75.0,2.91 (2.68-3.14),1,25.0,5.16 (NA-NA),1.75,1.62
astrocytes 15,1768.0,0.088,51.0,105,12,11.43,1.31 (0.90-1.73),93,88.57,3.48 (3.14-3.82),4.77,3.88
oligodendrocytes 16,107.0,0.355,99.0,11,0,0.0,NA,11,100.0,1.49 (0.81-2.16),NA,3.57
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,96.0,0.336,60.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,787.0,0.156,60.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.114,50.0,238,13,5.46,2.33 (1.92-2.74),225,94.54,3.73 (3.50-3.96),6.18,4.96
microglia 1,1615.0,0.109,50.0,161,37,22.98,2.10 (1.83-2.37),124,77.02,3.73 (3.41-4.04),5.26,5.48
oligodendrocytes 3,854.0,0.064,19.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,1630.0,0.157,80.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
