tipo_celular,module_size,FBXO22_MM,FBXO22_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.14,36.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,727.0,0.141,47.0,49,10,20.41,4.06 (3.15-4.97),39,79.59,2.18 (1.80-2.56),4.85,6.59
astrocytes 5,1656.0,0.142,88.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49),3.73,5.01
oligodendrocyte progenitor cells 7,4285.0,0.156,81.0,353,40,11.33,2.90 (2.43-3.36),313,88.67,4.04 (3.84-4.24),16.24,7.02
GABA neurons expressing GLU receptors 22,714.0,0.188,54.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91),2.01,3.66
GLU like neurons 17,1316.0,0.134,60.0,101,3,2.97,3.19 (2.31-4.07),98,97.03,3.05 (2.68-3.41),3.98,3.03
da like neurons 11,204.0,0.18,48.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.064,5.0,297,10,3.37,4.06 (3.15-4.97),287,96.63,3.66 (3.46-3.87),10.44,5.35
oligodendrocytes 20,275.0,0.248,68.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,3052.0,0.216,96.0,125,6,4.8,3.28 (2.73-3.82),119,95.2,3.35 (3.02-3.68),3.77,8.86
astrocytes 8,1266.0,0.055,20.0,66,6,9.09,1.94 (0.83-3.04),60,90.91,3.38 (2.94-3.81),3.68,2.88
oligodendrocyte progenitor cells 12,3303.0,0.075,45.0,276,38,13.77,2.90 (2.46-3.35),238,86.23,3.66 (3.42-3.91),8.78,4.52
oligodendrocytes 10,2107.0,0.111,34.0,358,46,12.85,2.70 (2.27-3.13),312,87.15,4.08 (3.88-4.28),17.54,8.28
connective tissue cells 21,112.0,0.144,10.0,7,1,14.29,1.85 (NA-NA),6,85.71,1.97 (1.05-2.89),1.40,2.02
astrocytes 15,1768.0,0.095,57.0,105,22,20.95,2.78 (2.22-3.34),83,79.05,3.34 (2.94-3.74),6.12,3.41
oligodendrocytes 16,81.0,0.207,48.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,157.0,0.233,6.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.172,92.0,104,17,16.35,2.34 (1.76-2.92),87,83.65,2.97 (2.66-3.29),6.97,5.09
oligodendrocytes 0,2078.0,0.116,53.0,238,20,8.4,3.46 (2.83-4.10),218,91.6,3.65 (3.42-3.88),5.20,5.01
microglia 1,813.0,0.098,26.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,854.0,0.084,43.0,76,5,6.58,2.82 (0.90-4.74),71,93.42,2.78 (2.44-3.11),3.12,4.83
oligodendrocytes 2,1630.0,0.144,54.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
