tipo_celular,module_size,TMOD3_MM,TMOD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.203,63.0,73,1,1.37,NA,72,98.63,3.56 (3.22-3.91),1.35,3.25
T cells 18,282.0,0.161,36.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,1656.0,0.075,4.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.113,20.0,353,15,4.25,1.54 (0.99-2.09),338,95.75,4.03 (3.84-4.21),23.53,7.38
GABA neurons expressing GLU receptors 22,823.0,0.185,54.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1247.0,0.147,60.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,204.0,0.221,66.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.157,49.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,271.0,0.293,84.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2090.0,0.103,15.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,47.0,0.039,18.0,76,0,0.0,NA,76,100.0,4.02 (3.72-4.33),NA,4.61
oligodendrocyte progenitor cells 12,1049.0,0.077,39.0,235,1,0.43,3.22 (NA-NA),234,99.57,3.83 (3.59-4.06),2.53,7.64
oligodendrocytes 10,2107.0,0.184,64.0,358,14,3.91,1.44 (0.88-2.00),344,96.09,3.99 (3.81-4.18),20.46,9.03
connective tissue cells 21,111.0,0.243,30.0,26,0,0.0,NA,26,100.0,2.52 (1.86-3.18),NA,2.17
astrocytes 15,268.0,0.041,12.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38),NA,1.59
oligodendrocytes 16,86.0,0.266,90.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,108.0,0.318,44.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
astrocytes 4,1807.0,0.098,2.0,104,3,2.88,0.90 (-0.14-1.94),101,97.12,2.93 (2.65-3.20),6.57,5.36
oligodendrocytes 0,613.0,0.072,1.0,127,1,0.79,4.08 (NA-NA),126,99.21,3.04 (2.62-3.46),1.71,6.31
microglia 1,958.0,0.114,54.0,290,9,3.1,2.81 (1.71-3.92),281,96.9,3.85 (3.62-4.08),3.82,5.04
oligodendrocytes 3,854.0,0.072,28.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630.0,0.139,44.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
