tipo_celular,module_size,ABCA3_MM,ABCA3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.093,14.0,68,14,20.59,2.86 (1.94-3.78),54,79.41,4.93 (4.33-5.52),2.89,3.42
astrocytes 5,932.0,0.121,68.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,4285.0,0.113,20.0,353,28,7.93,2.02 (1.48-2.55),325,92.07,4.10 (3.92-4.28),23.78,6.71
GABA neurons expressing GLU receptors 22,400.0,0.148,20.0,24,11,45.83,1.37 (0.72-2.03),13,54.17,2.82 (2.26-3.38),4.68,2.65
GLU like neurons 17,1247.0,0.224,90.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,215.0,0.484,100.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,77.0,0.185,66.0,3,1,33.33,NA,2,66.67,1.59 (0.34-2.85),1.56,2.18
endothelial cells 9,1653.0,0.061,3.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,253.0,0.151,45.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2090.0,0.226,88.0,74,2,2.7,2.22 (1.63-2.82),72,97.3,2.96 (2.58-3.35),3.87,10.68
astrocytes 8,1266.0,0.076,44.0,66,13,19.7,1.45 (0.83-2.07),53,80.3,3.75 (3.36-4.15),3.46,2.83
oligodendrocyte progenitor cells 12,143.0,0.042,8.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,806.0,0.125,37.0,261,26,9.96,3.14 (2.69-3.59),235,90.04,4.50 (4.25-4.76),6.71,5.99
connective tissue cells 21,111.0,0.425,96.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,1401.0,0.139,85.0,96,10,10.42,3.03 (2.22-3.84),86,89.58,3.70 (3.20-4.20),2.76,3.92
oligodendrocytes 16,78.0,0.164,30.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300.0,0.092,14.0,159,7,4.4,4.36 (2.44-6.28),152,95.6,4.36 (4.05-4.68),2.52,3.78
astrocytes microglia 23,80.0,0.314,45.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.152,51.0,61,4,6.56,2.12 (1.37-2.87),57,93.44,3.01 (2.58-3.44),2.63,6.26
oligodendrocytes 0,2078.0,0.091,10.0,238,4,1.68,1.74 (0.71-2.76),234,98.32,3.67 (3.45-3.90),8.32,4.97
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,357.0,0.075,33.0,127,1,0.79,5.19 (NA-NA),126,99.21,3.10 (2.77-3.43),2.48,4.25
oligodendrocytes 2,921.0,0.098,5.0,200,10,5.0,2.97 (2.30-3.64),190,95.0,3.66 (3.39-3.94),2.60,3.51
