tipo_celular,module_size,SPATA6_MM,SPATA6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.234,83.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45),NA,4.90
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.177,94.0,166,5,3.01,2.06 (0.67-3.46),161,96.99,3.44 (3.19-3.69),3.44,4.58
oligodendrocyte progenitor cells 7,436.0,0.223,89.0,219,4,1.83,3.61 (2.60-4.62),215,98.17,5.25 (4.95-5.54),5.70,4.59
GABA neurons expressing GLU receptors 22,567.0,0.226,64.0,16,3,18.75,2.09 (1.81-2.36),13,81.25,1.95 (1.17-2.74),1.56,4.11
GLU like neurons 17,1316.0,0.087,17.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41),2.05,3.06
da like neurons 11,200.0,0.287,78.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.219,54.0,74,3,4.05,3.33 (1.77-4.88),71,95.95,5.60 (5.04-6.16),5.28,3.57
oligodendrocytes 20,348.0,0.205,75.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,3052.0,0.135,46.0,125,3,2.4,4.27 (3.72-4.82),122,97.6,3.32 (2.99-3.65),1.82,8.78
astrocytes 8,577.0,0.069,36.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70),NA,4.47
oligodendrocyte progenitor cells 12,254.0,0.298,56.0,37,1,2.7,2.58 (NA-NA),36,97.3,4.56 (3.98-5.15),2.08,2.48
oligodendrocytes 10,1277.0,0.257,99.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,147.0,0.095,2.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,1768.0,0.122,79.0,105,5,4.76,1.23 (0.54-1.93),100,95.24,3.32 (2.98-3.66),4.55,3.95
oligodendrocytes 16,199.0,0.157,41.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,253.0,0.167,7.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,220.0,0.2,71.0,63,2,3.17,3.35 (1.84-4.86),61,96.83,5.21 (4.63-5.78),4.25,3.26
oligodendrocytes 0,309.0,0.206,85.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,813.0,0.32,100.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,639.0,0.218,96.0,15,1,6.67,2.23 (NA-NA),14,93.33,3.40 (1.93-4.88),1.41,2.28
oligodendrocytes 2,804.0,0.247,99.0,84,5,5.95,1.94 (0.81-3.08),79,94.05,2.75 (2.40-3.10),2.39,3.46
