tipo_celular,module_size,FIG4_MM,FIG4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218.0,0.147,12.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,727.0,0.13,39.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1656.0,0.122,61.0,136,2,1.47,2.32 (0.36-4.27),134,98.53,3.22 (2.95-3.50),6.86,4.96
oligodendrocyte progenitor cells 7,4285.0,0.144,64.0,353,35,9.92,2.85 (2.02-3.67),318,90.08,4.02 (3.84-4.20),18.02,6.97
GABA neurons expressing GLU receptors 22,1069.0,0.186,65.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,795.0,0.107,36.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,89.0,0.389,77.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,2.49
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,322.0,0.131,55.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.17,75.0,125,5,4.0,6.40 (5.17-7.63),120,96.0,3.22 (2.92-3.53),1.83,8.90
astrocytes 8,262.0,0.116,38.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.086,59.0,276,30,10.87,3.83 (2.94-4.71),246,89.13,3.50 (3.29-3.72),5.48,5.07
oligodendrocytes 10,2107.0,0.102,30.0,358,18,5.03,1.50 (0.83-2.17),340,94.97,4.03 (3.85-4.22),27.65,8.51
connective tissue cells 21,139.0,0.248,28.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,418.0,0.035,15.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17),4.84,2.98
oligodendrocytes 16,90.0,0.153,17.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.086,20.0,235,4,1.7,2.32 (0.69-3.96),231,98.3,4.02 (3.76-4.27),3.51,4.43
astrocytes microglia 23,114.0,0.255,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.149,46.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.116,53.0,238,3,1.26,2.01 (0.19-3.84),235,98.74,3.66 (3.44-3.88),8.89,4.97
microglia 1,1615.0,0.12,65.0,161,14,8.7,1.05 (0.56-1.54),147,91.3,3.54 (3.28-3.79),13.19,4.69
oligodendrocytes 3,854.0,0.082,41.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,804.0,0.1,4.0,84,4,4.76,1.13 (0.16-2.09),80,95.24,2.79 (2.45-3.13),3.50,3.39
