tipo_celular,module_size,SRSF7_MM,SRSF7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.172,29.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,518.0,0.241,89.0,131,8,6.11,3.23 (2.87-3.58),123,93.89,3.06 (2.77-3.36),4.48,4.77
astrocytes 5,1656.0,0.161,98.0,136,8,5.88,1.87 (1.38-2.35),128,94.12,3.30 (3.02-3.58),7.03,4.86
oligodendrocyte progenitor cells 7,628.0,0.216,75.0,164,5,3.05,4.11 (3.81-4.41),159,96.95,4.08 (3.75-4.42),4.49,7.62
GABA neurons expressing GLU receptors 22,848.0,0.376,89.0,262,14,5.34,2.18 (1.04-3.32),248,94.66,4.25 (4.00-4.49),10.02,3.77
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,408.0,0.098,21.0,25,7,28.0,1.85 (0.61-3.09),18,72.0,6.10 (4.78-7.43),2.02,2.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.137,74.0,275,64,23.27,2.62 (2.18-3.06),211,76.73,4.51 (4.24-4.78),11.45,4.19
oligodendrocytes 20,403.0,0.227,85.0,18,9,50.0,1.22 (0.50-1.93),9,50.0,2.54 (1.52-3.55),5.06,2.52
GABA like neurons 14,2402.0,0.251,56.0,455,36,7.91,2.07 (1.62-2.51),419,92.09,4.57 (4.39-4.75),19.05,7.96
astrocytes 8,771.0,0.132,52.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.123,56.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107.0,0.174,60.0,358,62,17.32,2.40 (2.01-2.79),296,82.68,4.28 (4.09-4.47),25.53,6.11
connective tissue cells 21,142.0,0.376,82.0,55,11,20.0,2.34 (1.35-3.32),44,80.0,4.12 (2.99-5.24),2.58,3.46
astrocytes 15,1768.0,0.096,58.0,105,30,28.57,2.34 (1.79-2.89),75,71.43,3.55 (3.16-3.94),5.58,3.34
oligodendrocytes 16,64.0,0.207,61.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,398.0,0.072,5.0,138,14,10.14,2.09 (1.20-2.97),124,89.86,5.14 (4.78-5.49),2.56,2.75
astrocytes microglia 23,110.0,0.3,36.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.149,59.0,104,27,25.96,1.72 (1.38-2.06),77,74.04,3.26 (2.95-3.58),10.23,3.70
oligodendrocytes 0,613.0,0.256,97.0,127,25,19.69,2.59 (2.22-2.97),102,80.31,3.22 (2.68-3.77),3.53,6.95
microglia 1,1615.0,0.143,86.0,161,42,26.09,1.85 (1.53-2.18),119,73.91,3.89 (3.61-4.17),10.45,3.66
oligodendrocytes 3,743.0,0.199,98.0,76,1,1.32,NA,75,98.68,3.16 (2.77-3.55),1.86,7.36
oligodendrocytes 2,528.0,0.207,53.0,175,8,4.57,3.80 (3.17-4.43),167,95.43,4.39 (4.04-4.75),17.27,4.01
