tipo_celular,module_size,PCF11_MM,PCF11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.191,77.0,71,4,5.63,1.32 (0.53-2.12),67,94.37,2.71 (2.29-3.14),1.89,3.68
T cells 18,624.0,0.201,83.0,142,1,0.7,NA,141,99.3,3.21 (2.94-3.48),1.46,4.32
astrocytes 5,1656.0,0.127,69.0,136,8,5.88,2.44 (0.95-3.93),128,94.12,3.26 (2.99-3.53),7.01,4.86
oligodendrocyte progenitor cells 7,4285.0,0.191,100.0,353,44,12.46,1.66 (1.35-1.96),309,87.54,4.24 (4.07-4.41),26.33,5.46
GABA neurons expressing GLU receptors 22,400.0,0.11,7.0,24,8,33.33,0.71 (0.36-1.06),16,66.67,2.88 (2.47-3.29),5.63,2.56
GLU like neurons 17,685.0,0.042,3.0,135,14,10.37,1.50 (1.07-1.94),121,89.63,3.41 (3.09-3.72),5.21,3.58
da like neurons 11,197.0,0.069,3.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.148,37.0,141,2,1.42,2.57 (2.15-2.99),139,98.58,2.97 (2.72-3.21),2.29,6.88
oligodendrocytes 20,322.0,0.076,26.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.127,39.0,125,5,4.0,7.59 (7.59-7.59),120,96.0,3.27 (2.96-3.57),2.62,8.86
astrocytes 8,771.0,0.039,5.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,3303.0,0.094,68.0,276,34,12.32,1.86 (1.56-2.15),242,87.68,3.80 (3.58-4.03),11.57,4.20
oligodendrocytes 10,2107.0,0.108,33.0,358,43,12.01,1.65 (1.34-1.97),315,87.99,4.21 (4.03-4.39),31.34,6.49
connective tissue cells 21,90.0,0.31,60.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA,1.41,NA
astrocytes 15,338.0,0.115,22.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,199.0,0.169,52.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.263,27.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.166,77.0,65,2,3.08,NA,63,96.92,2.96 (2.57-3.36),1.50,5.88
oligodendrocytes 0,1186.0,0.145,52.0,300,3,1.0,NA,297,99.0,3.79 (3.59-4.00),2.44,4.17
microglia 1,958.0,0.135,80.0,290,4,1.38,3.08 (2.83-3.34),286,98.62,3.82 (3.59-4.05),12.61,4.89
oligodendrocytes 3,357.0,0.164,84.0,127,1,0.79,2.83 (NA-NA),126,99.21,3.12 (2.79-3.46),8.69,4.20
oligodendrocytes 2,921.0,0.184,96.0,200,6,3.0,2.72 (2.02-3.43),194,97.0,3.65 (3.38-3.92),8.81,3.30
