tipo_celular,module_size,CAPN7_MM,CAPN7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.171,27.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,518.0,0.175,64.0,131,1,0.76,3.50 (NA-NA),130,99.24,3.07 (2.79-3.35),1.88,4.78
astrocytes 5,1141.0,0.136,57.0,166,11,6.63,1.38 (0.75-2.01),155,93.37,3.53 (3.28-3.78),4.97,4.52
oligodendrocyte progenitor cells 7,4285.0,0.158,83.0,353,21,5.95,1.60 (1.02-2.19),332,94.05,4.06 (3.88-4.24),27.40,6.84
GABA neurons expressing GLU receptors 22,487.0,0.106,9.0,73,2,2.74,1.57 (1.57-1.57),71,97.26,2.79 (2.40-3.19),2.83,7.45
GLU like neurons 17,637.0,0.108,25.0,91,11,12.09,1.02 (0.22-1.83),80,87.91,5.01 (4.55-5.48),3.09,3.05
da like neurons 11,289.0,0.197,56.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.128,51.0,297,3,1.01,2.53 (NA-NA),294,98.99,3.68 (3.47-3.88),5.86,5.51
oligodendrocytes 20,403.0,0.163,65.0,18,7,38.89,0.94 (0.39-1.48),11,61.11,2.48 (1.58-3.38),5.00,3.02
GABA like neurons 14,3052.0,0.161,68.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67),4.98,8.70
astrocytes 8,354.0,0.186,82.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303.0,0.079,50.0,276,17,6.16,1.88 (1.29-2.46),259,93.84,3.67 (3.45-3.89),8.60,4.88
oligodendrocytes 10,2107.0,0.104,31.0,358,25,6.98,1.41 (0.99-1.82),333,93.02,4.09 (3.91-4.28),22.20,8.52
connective tissue cells 21,84.0,0.24,28.0,1,0,0.0,NA,1,100.0,NA,NA,1.55
astrocytes 15,458.0,0.082,42.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,66.0,0.235,60.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,255.0,0.219,23.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01),NA,3.33
astrocytes 4,721.0,0.145,38.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,1186.0,0.153,64.0,300,1,0.33,NA,299,99.67,3.79 (3.59-4.00),4.41,4.15
microglia 1,1615.0,0.125,71.0,161,15,9.32,1.23 (0.65-1.82),146,90.68,3.51 (3.25-3.78),12.59,4.70
oligodendrocytes 3,681.0,0.105,60.0,87,10,11.49,1.44 (0.88-2.00),77,88.51,2.75 (2.47-3.03),4.60,4.19
oligodendrocytes 2,921.0,0.135,45.0,200,3,1.5,2.73 (1.22-4.24),197,98.5,3.63 (3.36-3.90),4.95,3.44
