tipo_celular,module_size,IARS2_MM,IARS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.108,13.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,506.0,0.124,20.0,225,4,1.78,1.74 (1.07-2.41),221,98.22,3.66 (3.41-3.91),20.55,7.67
astrocytes 5,1656.0,0.104,31.0,136,6,4.41,2.75 (1.24-4.26),130,95.59,3.23 (2.96-3.51),6.24,4.93
oligodendrocyte progenitor cells 7,4285.0,0.13,42.0,353,25,7.08,1.67 (1.15-2.18),328,92.92,4.11 (3.94-4.29),32.78,6.18
GABA neurons expressing GLU receptors 22,487.0,0.109,10.0,73,3,4.11,1.40 (1.32-1.48),70,95.89,2.82 (2.43-3.22),2.07,7.55
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,101.0,0.173,39.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,101.0,0.13,18.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,916.0,0.067,4.0,302,5,1.66,2.57 (1.20-3.94),297,98.34,4.01 (3.79-4.24),12.33,10.62
oligodendrocytes 20,938.0,0.089,31.0,169,5,2.96,1.61 (0.79-2.44),164,97.04,3.55 (3.33-3.77),9.48,5.24
GABA like neurons 14,2402.0,0.194,40.0,455,19,4.18,1.52 (1.06-1.99),436,95.82,4.52 (4.34-4.69),26.17,8.08
astrocytes 8,603.0,0.038,10.0,89,7,7.87,1.39 (0.90-1.87),82,92.13,2.93 (2.56-3.29),5.74,6.07
oligodendrocyte progenitor cells 12,708.0,0.043,11.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64),4.50,2.25
oligodendrocytes 10,735.0,0.108,58.0,277,3,1.08,3.49 (2.77-4.20),274,98.92,3.90 (3.65-4.14),3.24,9.01
connective tissue cells 21,86.0,0.345,86.0,7,0,0.0,NA,7,100.0,3.20 (2.46-3.95),NA,1.48
astrocytes 15,1768.0,0.063,26.0,105,13,12.38,1.57 (1.18-1.95),92,87.62,3.47 (3.12-3.82),8.28,3.37
oligodendrocytes 16,81.0,0.143,28.0,1,0,0.0,NA,1,100.0,NA,NA,3.71
da neurons 6,729.0,0.103,24.0,182,5,2.75,2.38 (1.20-3.56),177,97.25,3.68 (3.42-3.94),5.80,8.60
astrocytes microglia 23,118.0,0.373,86.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.178,97.0,104,16,15.38,1.49 (1.16-1.82),88,84.62,3.14 (2.84-3.43),12.84,4.04
oligodendrocytes 0,2078.0,0.123,68.0,238,7,2.94,3.26 (1.77-4.76),231,97.06,3.65 (3.43-3.87),8.40,4.92
microglia 1,406.0,0.082,5.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63),NA,6.74
oligodendrocytes 3,743.0,0.067,28.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.107,5.0,154,4,2.6,3.22 (1.83-4.60),150,97.4,3.25 (2.97-3.52),3.97,3.58
