tipo_celular,module_size,CMSS1_MM,CMSS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.211,76.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45),NA,4.90
T cells 18,727.0,0.17,70.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1141.0,0.135,56.0,166,1,0.6,0.55 (NA-NA),165,99.4,3.41 (3.16-3.66),2.11,4.56
oligodendrocyte progenitor cells 7,4285.0,0.169,93.0,353,5,1.42,1.70 (0.83-2.57),348,98.58,3.93 (3.74-4.12),13.45,7.99
GABA neurons expressing GLU receptors 22,823.0,0.063,2.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,229.0,0.183,38.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,289.0,0.306,90.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.151,40.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,322.0,0.209,79.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,1300.0,0.23,61.0,306,1,0.33,1.95 (NA-NA),305,99.67,5.11 (4.84-5.37),2.69,6.72
astrocytes 8,354.0,0.202,87.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303.0,0.09,64.0,276,5,1.81,1.70 (0.83-2.57),271,98.19,3.59 (3.37-3.81),8.35,5.05
oligodendrocytes 10,2107.0,0.342,94.0,358,5,1.4,1.70 (0.83-2.57),353,98.6,3.90 (3.71-4.09),12.86,9.42
connective tissue cells 21,102.0,0.243,28.0,5,0,0.0,NA,5,100.0,1.38 (1.02-1.75),NA,1.41
astrocytes 15,1768.0,0.108,69.0,105,5,4.76,1.70 (0.83-2.57),100,95.24,3.29 (2.95-3.64),5.42,3.91
oligodendrocytes 16,121.0,0.186,31.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,729.0,0.103,24.0,182,1,0.55,1.55 (NA-NA),181,99.45,3.65 (3.40-3.90),3.41,8.55
astrocytes microglia 23,255.0,0.233,30.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01),NA,3.33
astrocytes 4,752.0,0.142,34.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186.0,0.137,37.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,813.0,0.218,95.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,1003.0,0.144,83.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804.0,0.157,55.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02),NA,3.40
