tipo_celular,module_size,SF3B2_MM,SF3B2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.324,97.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,610.0,0.165,60.0,98,28,28.57,1.59 (1.21-1.97),70,71.43,3.76 (3.46-4.06),7.27,2.74
astrocytes 5,1656.0,0.121,59.0,136,10,7.35,2.16 (1.56-2.75),126,92.65,3.30 (3.02-3.59),6.12,4.90
oligodendrocyte progenitor cells 7,4285.0,0.117,23.0,353,51,14.45,2.17 (1.77-2.57),302,85.55,4.26 (4.08-4.43),23.94,5.38
GABA neurons expressing GLU receptors 22,567.0,0.208,57.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.091,19.0,133,31,23.31,1.78 (1.43-2.14),102,76.69,3.79 (3.45-4.13),5.08,3.88
GABA neurons expressing GABA receptors 13,65.0,0.194,68.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59),NA,18.27
endothelial cells 9,559.0,0.087,17.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,275.0,0.145,28.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402.0,0.14,21.0,455,45,9.89,2.44 (1.98-2.90),410,90.11,4.62 (4.44-4.80),15.71,8.08
astrocytes 8,603.0,0.076,50.0,89,13,14.61,2.08 (1.40-2.76),76,85.39,2.93 (2.53-3.33),4.95,6.23
oligodendrocyte progenitor cells 12,1049.0,0.068,33.0,235,13,5.53,3.55 (3.12-3.97),222,94.47,3.84 (3.59-4.08),6.53,7.68
oligodendrocytes 10,735.0,0.086,42.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,101.0,0.121,0.0,116,1,0.86,1.95 (NA-NA),115,99.14,4.64 (4.23-5.06),2.57,3.22
astrocytes 15,1401.0,0.032,4.0,96,1,1.04,2.89 (NA-NA),95,98.96,3.62 (3.17-4.08),1.57,3.82
oligodendrocytes 16,66.0,0.224,47.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228.0,0.1,54.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,127.0,0.289,34.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,1807.0,0.135,31.0,104,31,29.81,1.71 (1.41-2.02),73,70.19,3.36 (3.05-3.67),10.19,3.36
oligodendrocytes 0,613.0,0.148,55.0,127,19,14.96,2.59 (2.12-3.05),108,85.04,3.17 (2.67-3.67),3.99,6.68
microglia 1,406.0,0.067,2.0,278,2,0.72,4.31 (4.31-4.31),276,99.28,4.36 (4.09-4.64),5.85,6.74
oligodendrocytes 3,681.0,0.089,44.0,87,25,28.74,1.62 (1.30-1.93),62,71.26,3.00 (2.69-3.30),6.63,3.28
oligodendrocytes 2,921.0,0.147,68.0,200,17,8.5,3.04 (2.72-3.37),183,91.5,3.68 (3.39-3.97),5.52,3.27
