tipo_celular,module_size,TUBGCP5_MM,TUBGCP5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.094,10.0,71,4,5.63,1.85 (0.62-3.08),67,94.37,2.68 (2.25-3.11),1.77,3.68
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.096,21.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.096,7.0,353,22,6.23,1.90 (1.33-2.47),331,93.77,4.05 (3.86-4.23),19.81,7.28
GABA neurons expressing GLU receptors 22,567.0,0.084,5.0,16,4,25.0,2.91 (1.29-4.54),12,75.0,1.72 (1.02-2.41),1.80,4.25
GLU like neurons 17,1247.0,0.243,93.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,204.0,0.121,26.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,275.0,0.197,50.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,3052.0,0.213,95.0,125,4,3.2,4.19 (3.46-4.92),121,96.8,3.34 (3.01-3.66),4.32,8.75
astrocytes 8,771.0,0.027,1.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,3303.0,0.04,7.0,276,11,3.99,2.28 (1.40-3.16),265,96.01,3.60 (3.38-3.82),6.00,5.07
oligodendrocytes 10,806.0,0.023,1.0,261,11,4.21,4.05 (3.37-4.72),250,95.79,4.37 (4.13-4.62),5.61,6.09
connective tissue cells 21,85.0,0.372,79.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,338.0,0.132,36.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,112.0,0.205,76.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,409.0,0.058,4.0,235,3,1.28,3.78 (2.99-4.57),232,98.72,3.98 (3.72-4.23),3.19,4.43
astrocytes microglia 23,78.0,0.337,54.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.153,66.0,104,4,3.85,0.87 (0.13-1.61),100,96.15,2.95 (2.67-3.23),9.00,5.25
oligodendrocytes 0,2078.0,0.116,55.0,238,3,1.26,1.22 (-0.77-3.20),235,98.74,3.66 (3.44-3.88),7.14,5.00
microglia 1,1615.0,0.105,43.0,161,11,6.83,1.12 (0.45-1.80),150,93.17,3.45 (3.19-3.71),11.66,4.98
oligodendrocytes 3,357.0,0.052,11.0,127,2,1.57,6.67 (NA-NA),125,98.43,3.08 (2.76-3.41),2.94,4.26
oligodendrocytes 2,1630.0,0.126,21.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
