tipo_celular,module_size,TENM4_MM,TENM4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.291,65.0,140,18,12.86,3.89 (3.40-4.37),122,87.14,4.67 (4.36-4.99),4.39,3.42
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.431,97.0,58,16,27.59,3.32 (2.61-4.02),42,72.41,4.52 (4.03-5.00),1.88,2.49
oligodendrocyte progenitor cells 7,4285.0,0.153,77.0,353,14,3.97,1.15 (0.67-1.64),339,96.03,4.04 (3.86-4.22),35.09,6.95
GABA neurons expressing GLU receptors 22,1069.0,0.271,97.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247.0,0.164,70.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,191.0,0.236,43.0,93,21,22.58,4.99 (4.20-5.79),72,77.42,5.91 (5.46-6.36),4.61,4.00
GABA neurons expressing GABA receptors 13,357.0,0.08,5.0,237,1,0.42,3.22 (NA-NA),236,99.58,4.41 (4.18-4.65),6.47,4.17
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,279.0,0.357,86.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,1300.0,0.32,92.0,306,40,13.07,4.15 (3.45-4.85),266,86.93,5.31 (5.04-5.58),11.62,5.97
astrocytes 8,1266.0,0.15,88.0,66,15,22.73,2.23 (1.18-3.28),51,77.27,3.58 (3.20-3.96),3.26,2.86
oligodendrocyte progenitor cells 12,3303.0,0.086,59.0,276,9,3.26,1.67 (1.05-2.30),267,96.74,3.62 (3.40-3.83),7.23,5.04
oligodendrocytes 10,2107.0,0.19,66.0,358,18,5.03,1.10 (0.75-1.45),340,94.97,4.06 (3.88-4.24),25.26,8.64
connective tissue cells 21,82.0,0.251,38.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82),NA,1.85
astrocytes 15,1401.0,0.326,100.0,96,4,4.17,2.74 (1.67-3.81),92,95.83,3.66 (3.19-4.13),1.68,3.89
oligodendrocytes 16,108.0,0.269,79.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00),NA,2.53
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.311,59.0,99,12,12.12,3.56 (3.07-4.05),87,87.88,4.41 (4.04-4.79),3.16,3.25
astrocytes 4,171.0,0.379,99.0,22,2,9.09,6.16 (5.81-6.51),20,90.91,4.33 (3.33-5.32),2.27,1.99
oligodendrocytes 0,309.0,0.044,0.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,315.0,0.262,85.0,144,19,13.19,4.02 (3.41-4.62),125,86.81,4.54 (4.19-4.88),3.35,4.34
oligodendrocytes 3,242.0,0.239,86.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,347.0,0.33,90.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
