tipo_celular,module_size,SMARCAD1_MM,SMARCAD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.216,78.0,97,3,3.09,3.32 (1.50-5.13),94,96.91,3.04 (2.64-3.45),4.13,4.93
T cells 18,282.0,0.176,51.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,1141.0,0.128,45.0,166,32,19.28,2.19 (1.78-2.59),134,80.72,3.73 (3.46-4.00),6.52,4.08
oligodendrocyte progenitor cells 7,4285.0,0.147,68.0,353,46,13.03,2.26 (1.81-2.72),307,86.97,4.20 (4.02-4.37),22.95,5.83
GABA neurons expressing GLU receptors 22,1069.0,0.152,41.0,37,1,2.7,1.52 (NA-NA),36,97.3,2.18 (1.71-2.64),2.59,3.12
GLU like neurons 17,300.0,0.186,49.0,16,6,37.5,2.92 (2.30-3.55),10,62.5,1.45 (0.17-2.73),2.03,2.73
da like neurons 11,153.0,0.283,67.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.126,49.0,297,12,4.04,3.65 (2.87-4.43),285,95.96,3.67 (3.46-3.88),5.84,5.50
oligodendrocytes 20,322.0,0.047,13.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.189,87.0,125,4,3.2,3.81 (2.47-5.14),121,96.8,3.34 (3.01-3.67),2.88,8.80
astrocytes 8,727.0,0.182,84.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.1,74.0,276,32,11.59,2.11 (1.74-2.49),244,88.41,3.79 (3.56-4.02),11.95,4.21
oligodendrocytes 10,2107.0,0.164,57.0,358,55,15.36,2.32 (1.90-2.73),303,84.64,4.24 (4.05-4.42),23.44,6.94
connective tissue cells 21,102.0,0.253,33.0,5,3,60.0,1.38 (1.02-1.75),2,40.0,NA,1.33,1.53
astrocytes 15,1768.0,0.103,66.0,105,16,15.24,1.57 (1.20-1.94),89,84.76,3.54 (3.18-3.89),7.73,3.30
oligodendrocytes 16,66.0,0.263,74.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.373,86.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.193,99.0,65,1,1.54,5.16 (NA-NA),64,98.46,2.92 (2.53-3.31),2.40,5.80
oligodendrocytes 0,2078.0,0.113,47.0,238,12,5.04,3.66 (2.52-4.81),226,94.96,3.63 (3.41-3.86),6.09,4.97
microglia 1,813.0,0.13,65.0,79,1,1.27,5.16 (NA-NA),78,98.73,3.07 (2.67-3.48),4.90,7.94
oligodendrocytes 3,854.0,0.119,78.0,76,4,5.26,2.33 (-0.34-4.99),72,94.74,2.81 (2.49-3.12),2.64,4.84
oligodendrocytes 2,921.0,0.138,50.0,200,8,4.0,4.15 (2.82-5.49),192,96.0,3.60 (3.33-3.87),2.48,3.50
