tipo_celular,module_size,CNP_MM,CNP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.415,89.0,68,7,10.29,3.66 (2.17-5.15),61,89.71,4.48 (3.88-5.08),2.42,3.42
astrocytes 5,165.0,0.407,86.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,628.0,0.279,87.0,164,8,4.88,4.18 (2.86-5.49),156,95.12,4.08 (3.74-4.42),3.90,7.71
GABA neurons expressing GLU receptors 22,567.0,0.375,89.0,16,2,12.5,3.25 (0.69-5.82),14,87.5,1.76 (1.12-2.40),2.11,3.85
GLU like neurons 17,637.0,0.431,94.0,91,12,13.19,1.86 (0.71-3.01),79,86.81,5.06 (4.58-5.54),3.11,3.05
da like neurons 11,408.0,0.541,93.0,25,4,16.0,0.97 (0.27-1.66),21,84.0,5.53 (4.24-6.81),2.07,2.32
GABA neurons expressing GABA receptors 13,288.0,0.227,68.0,93,12,12.9,4.12 (3.01-5.24),81,87.1,5.35 (4.82-5.89),3.93,3.95
endothelial cells 9,450.0,0.494,86.0,74,1,1.35,4.85 (NA-NA),73,98.65,5.48 (4.91-6.04),3.81,3.63
oligodendrocytes 20,358.0,0.049,16.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2402.0,0.134,19.0,455,17,3.74,2.38 (0.95-3.80),438,96.26,4.41 (4.23-4.59),27.89,8.10
astrocytes 8,771.0,0.62,96.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.458,95.0,32,4,12.5,0.39 (0.29-0.50),28,87.5,3.72 (2.93-4.52),4.79,2.28
oligodendrocytes 10,204.0,0.416,42.0,92,3,3.26,5.68 (4.39-6.96),89,96.74,5.70 (5.21-6.19),2.18,3.77
connective tissue cells 21,250.0,0.316,55.0,117,10,8.55,3.75 (2.73-4.77),107,91.45,5.56 (5.16-5.97),3.72,3.74
astrocytes 15,458.0,0.277,90.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,287.0,0.241,34.0,105,10,9.52,3.34 (2.26-4.42),95,90.48,5.36 (4.91-5.82),3.35,3.48
da neurons 6,398.0,0.25,79.0,138,14,10.14,3.28 (2.11-4.45),124,89.86,5.03 (4.66-5.41),2.18,2.80
astrocytes microglia 23,132.0,0.362,67.0,1,0,0.0,NA,1,100.0,NA,NA,2.03
astrocytes 4,102.0,0.289,77.0,42,2,4.76,5.00 (4.97-5.04),40,95.24,5.73 (4.96-6.50),1.66,3.24
oligodendrocytes 0,546.0,0.323,93.0,252,18,7.14,2.11 (0.84-3.38),234,92.86,4.22 (3.98-4.46),21.20,7.21
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,127.0,0.424,86.0,45,7,15.56,3.68 (2.38-4.99),38,84.44,4.55 (3.49-5.61),2.69,6.51
oligodendrocytes 2,528.0,0.549,99.0,175,8,4.57,3.17 (1.87-4.48),167,95.43,4.42 (4.06-4.78),17.99,3.98
