tipo_celular,module_size,RPS14_MM,RPS14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.387,76.0,98,51,52.04,3.52 (2.91-4.13),47,47.96,2.86 (2.14-3.58),20.75,5.54
T cells 18,506.0,0.521,95.0,225,59,26.22,3.56 (3.05-4.08),166,73.78,3.63 (3.34-3.91),18.58,4.11
astrocytes 5,328.0,0.289,86.0,128,12,9.38,3.64 (3.18-4.11),116,90.62,3.56 (3.17-3.94),15.84,5.82
oligodendrocyte progenitor cells 7,448.0,0.402,97.0,108,17,15.74,4.47 (3.66-5.29),91,84.26,3.00 (2.52-3.49),22.04,16.20
GABA neurons expressing GLU receptors 22,487.0,0.315,80.0,73,22,30.14,3.34 (2.61-4.08),51,69.86,2.48 (2.05-2.91),9.40,6.43
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.213,61.0,410,32,7.8,3.32 (2.84-3.80),378,92.2,4.33 (4.14-4.53),15.28,6.86
GABA neurons expressing GABA receptors 13,417.0,0.166,54.0,213,57,26.76,2.70 (2.24-3.17),156,73.24,4.19 (3.94-4.44),10.77,9.29
endothelial cells 9,916.0,0.616,99.0,302,24,7.95,3.99 (3.12-4.87),278,92.05,3.98 (3.75-4.21),24.28,9.48
oligodendrocytes 20,938.0,0.238,88.0,169,35,20.71,3.45 (2.86-4.04),134,79.29,3.49 (3.25-3.72),11.48,3.77
GABA like neurons 14,2402.0,0.618,96.0,455,64,14.07,2.86 (2.38-3.34),391,85.93,4.62 (4.44-4.81),19.63,7.07
astrocytes 8,603.0,0.234,93.0,89,24,26.97,2.80 (2.25-3.35),65,73.03,2.74 (2.28-3.19),7.88,5.37
oligodendrocyte progenitor cells 12,1049.0,0.467,98.0,235,30,12.77,4.09 (3.49-4.68),205,87.23,3.79 (3.53-4.04),18.42,6.03
oligodendrocytes 10,483.0,0.442,94.0,129,33,25.58,4.55 (3.95-5.16),96,74.42,3.09 (2.64-3.54),23.07,17.86
connective tissue cells 21,301.0,0.285,25.0,158,28,17.72,3.60 (2.85-4.36),130,82.28,4.43 (4.02-4.85),21.11,4.04
astrocytes 15,338.0,0.172,65.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,96.0,0.274,71.0,102,49,48.04,2.89 (2.33-3.44),53,51.96,3.74 (3.39-4.10),12.07,3.59
da neurons 6,729.0,0.241,86.0,182,37,20.33,3.87 (3.15-4.58),145,79.67,3.58 (3.32-3.84),16.73,6.43
astrocytes microglia 23,137.0,0.521,90.0,188,56,29.79,3.22 (2.66-3.78),132,70.21,4.95 (4.58-5.32),16.20,3.30
astrocytes 4,208.0,0.158,28.0,173,21,12.14,4.75 (3.83-5.67),152,87.86,3.63 (3.33-3.94),8.20,5.26
oligodendrocytes 0,546.0,0.267,84.0,252,65,25.79,3.03 (2.49-3.56),187,74.21,4.47 (4.22-4.73),17.76,4.89
microglia 1,406.0,0.586,98.0,278,21,7.55,4.01 (3.35-4.66),257,92.45,4.39 (4.10-4.68),27.24,5.06
oligodendrocytes 3,303.0,0.249,86.0,154,25,16.23,4.62 (3.93-5.30),129,83.77,3.46 (3.11-3.80),29.60,8.40
oligodendrocytes 2,526.0,0.412,85.0,213,16,7.51,4.38 (3.59-5.18),197,92.49,3.95 (3.66-4.24),28.70,6.25
