tipo_celular,module_size,SSR1_MM,SSR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.182,56.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,518,0.09,9.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1656,0.161,98.0,136,5,3.68,3.76 (3.68-3.85),131,96.32,3.18 (2.90-3.47),3.81,5.03
oligodendrocyte progenitor cells 7,628,0.168,53.0,164,10,6.1,4.37 (3.44-5.31),154,93.9,4.06 (3.71-4.41),6.15,7.62
GABA neurons expressing GLU receptors 22,714,0.15,32.0,17,1,5.88,2.06 (NA-NA),16,94.12,2.32 (1.70-2.94),1.62,3.69
GLU like neurons 17,489,0.051,3.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,1220,0.163,44.0,410,19,4.63,3.85 (3.09-4.62),391,95.37,4.27 (4.08-4.47),9.50,7.42
GABA neurons expressing GABA receptors 13,77,0.172,53.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.97
endothelial cells 9,338,0.11,39.0,191,3,1.57,4.12 (2.10-6.13),188,98.43,3.88 (3.65-4.11),5.40,9.22
oligodendrocytes 20,295,0.145,31.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,2402,0.259,58.0,455,21,4.62,2.69 (1.94-3.44),434,95.38,4.45 (4.27-4.64),25.94,8.01
astrocytes 8,520,0.106,45.0,288,15,5.21,3.19 (2.48-3.90),273,94.79,4.24 (4.04-4.45),9.19,4.44
oligodendrocyte progenitor cells 12,708,0.043,10.0,32,10,31.25,1.73 (0.80-2.65),22,68.75,4.09 (3.13-5.04),3.50,2.19
oligodendrocytes 10,735,0.148,75.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,111,0.296,53.0,26,0,0.0,NA,26,100.0,2.52 (1.86-3.18),NA,2.17
astrocytes 15,458,0.06,26.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,158,0.154,18.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,307,0.117,47.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,42,0.319,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.173,93.0,104,11,10.58,2.76 (1.79-3.73),93,89.42,2.87 (2.58-3.17),7.94,5.10
oligodendrocytes 0,2078,0.117,56.0,238,2,0.84,1.10 (-0.65-2.86),236,99.16,3.66 (3.44-3.88),8.21,5.00
microglia 1,406,0.107,20.0,278,1,0.36,4.78 (NA-NA),277,99.64,4.36 (4.09-4.63),2.11,6.75
oligodendrocytes 3,743,0.091,63.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54),6.14,7.37
oligodendrocytes 2,528,0.186,41.0,175,9,5.14,2.89 (2.20-3.58),166,94.86,4.50 (4.14-4.87),7.54,4.46
