tipo_celular,module_size,KLHL5_MM,KLHL5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.137,27.0,98,1,1.02,0.55 (NA-NA),97,98.98,3.25 (2.78-3.72),2.60,13.57
T cells 18,610.0,0.142,42.0,98,4,4.08,1.67 (0.28-3.06),94,95.92,3.19 (2.87-3.51),9.76,3.79
astrocytes 5,1141.0,0.1,14.0,166,1,0.6,0.55 (NA-NA),165,99.4,3.41 (3.16-3.66),2.11,4.56
oligodendrocyte progenitor cells 7,4285.0,0.132,46.0,353,5,1.42,1.45 (0.29-2.61),348,98.58,3.93 (3.75-4.12),33.53,7.70
GABA neurons expressing GLU receptors 22,400.0,0.149,21.0,24,3,12.5,1.58 (-0.37-3.52),21,87.5,2.24 (1.71-2.77),8.87,2.83
GLU like neurons 17,380.0,0.187,61.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,153.0,0.199,39.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.272,70.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92),NA,3.65
oligodendrocytes 20,676.0,0.044,17.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,3052.0,0.198,91.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.142,70.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,708.0,0.143,62.0,32,2,6.25,1.89 (-1.31-5.09),30,93.75,3.35 (2.51-4.19),4.85,2.45
oligodendrocytes 10,2107.0,0.178,61.0,358,5,1.4,1.45 (0.29-2.61),353,98.6,3.91 (3.71-4.10),30.62,9.17
connective tissue cells 21,73.0,0.234,31.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.093,56.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59),4.52,3.97
oligodendrocytes 16,113.0,0.2,46.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75),NA,1.88
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,253.0,0.216,30.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,787.0,0.154,55.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.142,95.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86),NA,5.02
microglia 1,958.0,0.129,74.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04),NA,5.00
oligodendrocytes 3,1003.0,0.107,61.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,348.0,0.115,7.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52),NA,4.39
