tipo_celular,module_size,MXRA7_MM,MXRA7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,228.0,0.082,3.0,266,6,2.26,0.79 (0.20-1.39),260,97.74,4.21 (4.01-4.41),7.00,4.93
oligodendrocyte progenitor cells 7,666.0,0.124,19.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17),NA,5.84
GABA neurons expressing GLU receptors 22,848.0,0.155,25.0,262,2,0.76,2.99 (1.51-4.47),260,99.24,4.17 (3.92-4.42),6.42,4.09
GLU like neurons 17,1247.0,0.11,32.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,1220.0,0.115,21.0,410,2,0.49,2.99 (1.51-4.47),408,99.51,4.26 (4.07-4.44),13.51,7.49
GABA neurons expressing GABA receptors 13,266.0,0.196,68.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,916.0,0.165,36.0,302,2,0.66,2.99 (1.51-4.47),300,99.34,3.99 (3.76-4.22),6.86,10.68
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.149,25.0,455,8,1.76,1.13 (0.28-1.99),447,98.24,4.42 (4.24-4.60),44.08,8.20
astrocytes 8,520.0,0.075,28.0,288,2,0.69,2.99 (1.51-4.47),286,99.31,4.18 (3.98-4.38),8.86,4.66
oligodendrocyte progenitor cells 12,1049.0,0.074,36.0,235,1,0.43,3.74 (NA-NA),234,99.57,3.82 (3.59-4.06),12.10,7.60
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,125.0,0.366,79.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,1401.0,0.076,41.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.079,11.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,101.0,0.408,93.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59),NA,2.93
astrocytes 4,1807.0,0.118,10.0,104,2,1.92,2.14 (-0.99-5.28),102,98.08,2.88 (2.60-3.16),21.29,5.09
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
