tipo_celular,module_size,DDI2_MM,DDI2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.159,56.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,624.0,0.161,56.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656.0,0.124,64.0,136,7,5.15,1.93 (1.13-2.73),129,94.85,3.26 (2.99-3.54),5.61,4.95
oligodendrocyte progenitor cells 7,4285.0,0.13,42.0,353,33,9.35,1.95 (1.50-2.40),320,90.65,4.14 (3.96-4.32),31.13,5.69
GABA neurons expressing GLU receptors 22,848.0,0.049,1.0,262,10,3.82,2.75 (1.59-3.90),252,96.18,4.23 (3.98-4.48),4.30,4.10
GLU like neurons 17,489.0,0.104,25.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,200.0,0.115,15.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.088,20.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,279.0,0.222,54.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,2090.0,0.112,21.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,771.0,0.04,6.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.077,32.0,32,6,18.75,0.94 (-0.08-1.95),26,81.25,3.87 (3.06-4.69),4.20,2.23
oligodendrocytes 10,2107.0,0.125,40.0,358,33,9.22,1.92 (1.48-2.36),325,90.78,4.13 (3.94-4.31),34.04,6.98
connective tissue cells 21,136.0,0.411,93.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,1401.0,0.114,74.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,81.0,0.37,99.0,3,0,0.0,NA,3,100.0,NA,NA,2.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,94.0,0.327,49.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.16,79.0,104,25,24.04,2.04 (1.58-2.51),79,75.96,3.12 (2.80-3.44),10.89,3.66
oligodendrocytes 0,2078.0,0.121,64.0,238,5,2.1,1.98 (0.20-3.77),233,97.9,3.66 (3.44-3.88),10.19,4.91
microglia 1,958.0,0.11,48.0,290,9,3.1,3.28 (2.21-4.35),281,96.9,3.83 (3.60-4.06),5.18,4.99
oligodendrocytes 3,242.0,0.091,24.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,804.0,0.14,35.0,84,9,10.71,2.54 (1.57-3.51),75,89.29,2.71 (2.35-3.07),3.80,3.35
