tipo_celular,module_size,PTAR1_MM,PTAR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.169,60.0,71,0,0.0,NA,71,100.0,2.62 (2.21-3.03),NA,3.58
T cells 18,518.0,0.157,52.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1141.0,0.146,71.0,166,0,0.0,NA,166,100.0,3.39 (3.14-3.64),NA,4.55
oligodendrocyte progenitor cells 7,4285.0,0.134,49.0,353,2,0.57,0.61 (-0.07-1.28),351,99.43,3.91 (3.73-4.10),59.33,7.77
GABA neurons expressing GLU receptors 22,400.0,0.172,32.0,24,2,8.33,0.61 (-0.07-1.28),22,91.67,2.30 (1.78-2.81),10.04,2.99
GLU like neurons 17,1316.0,0.157,77.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,145.0,0.1,16.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.111,16.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92),NA,3.65
oligodendrocytes 20,298.0,0.155,56.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,3052.0,0.09,12.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.052,12.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.085,59.0,276,0,0.0,NA,276,100.0,3.54 (3.32-3.76),NA,5.11
oligodendrocytes 10,2107.0,0.131,43.0,358,2,0.56,0.61 (-0.07-1.28),356,99.44,3.88 (3.69-4.08),50.23,9.24
connective tissue cells 21,106.0,0.185,3.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09),1.92,2.32
astrocytes 15,1768.0,0.083,47.0,105,0,0.0,NA,105,100.0,3.21 (2.88-3.55),NA,3.98
oligodendrocytes 16,69.0,0.271,80.0,1,0,0.0,NA,1,100.0,NA,NA,1.56
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,115.0,0.234,8.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.16,68.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,1186.0,0.167,84.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,813.0,0.111,45.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,743.0,0.098,70.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,921.0,0.161,85.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89),NA,3.46
