tipo_celular,module_size,WDR41_MM,WDR41_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.176,59.0,32,4,12.5,4.14 (2.93-5.35),28,87.5,3.65 (2.76-4.54),6.63,3.18
T cells 18,393.0,0.158,53.0,59,5,8.47,3.54 (2.95-4.13),54,91.53,3.06 (2.51-3.61),3.27,5.54
astrocytes 5,1141.0,0.13,49.0,166,15,9.04,2.83 (1.92-3.74),151,90.96,3.46 (3.20-3.72),4.28,4.58
oligodendrocyte progenitor cells 7,4285.0,0.129,40.0,353,31,8.78,2.70 (1.99-3.41),322,91.22,4.04 (3.86-4.22),21.78,6.74
GABA neurons expressing GLU receptors 22,714.0,0.163,39.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,1316.0,0.147,70.0,101,3,2.97,6.15 (5.81-6.48),98,97.03,2.93 (2.60-3.27),4.49,3.01
da like neurons 11,137.0,0.289,51.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA),NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.243,56.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,322.0,0.125,50.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.151,61.0,125,2,1.6,3.67 (2.70-4.65),123,98.4,3.35 (3.02-3.68),6.95,8.64
astrocytes 8,727.0,0.113,54.0,29,1,3.45,3.17 (NA-NA),28,96.55,2.33 (1.82-2.84),2.85,3.57
oligodendrocyte progenitor cells 12,3303.0,0.129,94.0,276,17,6.16,2.29 (1.56-3.01),259,93.84,3.65 (3.43-3.87),10.74,4.74
oligodendrocytes 10,2107.0,0.165,57.0,358,32,8.94,2.51 (1.80-3.22),326,91.06,4.04 (3.85-4.23),19.74,8.46
connective tissue cells 21,100.0,0.328,67.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.178,97.0,105,16,15.24,3.02 (2.03-4.00),89,84.76,3.25 (2.90-3.60),5.00,3.80
oligodendrocytes 16,104.0,0.137,4.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA,1.45,NA
da neurons 6,448.0,0.11,60.0,43,1,2.33,3.17 (NA-NA),42,97.67,3.28 (2.75-3.82),1.72,3.51
astrocytes microglia 23,161.0,0.28,25.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.119,7.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,1186.0,0.138,38.0,300,5,1.67,2.65 (2.03-3.28),295,98.33,3.81 (3.60-4.02),6.32,4.12
microglia 1,1615.0,0.114,57.0,161,25,15.53,2.56 (1.75-3.38),136,84.47,3.44 (3.17-3.70),9.86,4.62
oligodendrocytes 3,743.0,0.093,65.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,921.0,0.142,60.0,200,3,1.5,2.30 (1.44-3.17),197,98.5,3.65 (3.38-3.92),5.17,3.44
