tipo_celular,module_size,KHDC4_MM,KHDC4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.079,6.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84),NA,3.54
T cells 18,518.0,0.142,40.0,131,6,4.58,3.48 (2.87-4.09),125,95.42,3.05 (2.76-3.34),4.18,4.78
astrocytes 5,423.0,0.121,30.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,4285.0,0.139,57.0,353,47,13.31,2.04 (1.70-2.38),306,86.69,4.28 (4.10-4.45),25.07,5.45
GABA neurons expressing GLU receptors 22,400.0,0.311,91.0,24,7,29.17,0.55 (0.37-0.73),17,70.83,2.82 (2.41-3.22),5.84,2.65
GLU like neurons 17,229.0,0.034,1.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,215.0,0.078,7.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.111,37.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,322.0,0.047,12.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.164,71.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577.0,0.07,37.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70),NA,4.47
oligodendrocyte progenitor cells 12,708.0,0.085,37.0,32,7,21.88,0.80 (0.32-1.28),25,78.12,4.06 (3.26-4.86),4.07,2.19
oligodendrocytes 10,2107.0,0.196,68.0,358,43,12.01,1.86 (1.55-2.18),315,87.99,4.25 (4.06-4.43),31.11,6.52
connective tissue cells 21,96.0,0.366,86.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.091,54.0,105,27,25.71,1.91 (1.55-2.27),78,74.29,3.72 (3.33-4.10),6.32,3.17
oligodendrocytes 16,105.0,0.259,72.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,101.0,0.353,69.0,6,1,16.67,3.65 (NA-NA),5,83.33,4.57 (2.52-6.62),1.61,3.19
astrocytes 4,514.0,0.142,22.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,2078.0,0.135,89.0,238,4,1.68,1.70 (0.57-2.84),234,98.32,3.68 (3.45-3.90),15.59,4.84
microglia 1,958.0,0.127,72.0,290,15,5.17,2.98 (2.65-3.32),275,94.83,3.87 (3.63-4.11),6.87,4.90
oligodendrocytes 3,1003.0,0.058,10.0,111,2,1.8,3.13 (2.98-3.28),109,98.2,3.31 (2.96-3.66),3.46,4.25
oligodendrocytes 2,1630.0,0.181,99.0,154,1,0.65,4.17 (NA-NA),153,99.35,3.24 (2.97-3.50),4.88,3.58
