tipo_celular,module_size,LIFR_MM,LIFR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.067,2.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,448.0,0.091,14.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,567.0,0.519,98.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,795.0,0.123,46.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19),3.78,2.99
da like neurons 11,408.0,0.265,68.0,25,4,16.0,1.16 (0.64-1.68),21,84.0,5.48 (4.15-6.81),1.99,2.33
GABA neurons expressing GABA receptors 13,88.0,0.204,79.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,658.0,0.169,36.0,120,14,11.67,3.12 (2.54-3.71),106,88.33,4.82 (4.49-5.15),4.34,3.56
oligodendrocytes 20,676.0,0.315,56.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66),4.02,3.50
GABA like neurons 14,3052.0,0.233,98.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,279.0,0.173,13.0,78,9,11.54,2.21 (1.97-2.44),69,88.46,4.64 (4.22-5.06),3.42,2.61
oligodendrocyte progenitor cells 12,254.0,0.375,76.0,37,4,10.81,2.48 (2.37-2.58),33,89.19,4.80 (4.21-5.38),1.92,2.54
oligodendrocytes 10,130.0,0.584,88.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,250.0,0.215,22.0,117,3,2.56,2.12 (1.30-2.94),114,97.44,5.49 (5.10-5.88),5.38,3.70
astrocytes 15,418.0,0.295,71.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17),4.84,2.98
oligodendrocytes 16,153.0,0.374,53.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,398.0,0.193,65.0,138,8,5.8,1.49 (0.96-2.02),130,94.2,5.07 (4.72-5.42),2.37,2.76
astrocytes microglia 23,59.0,0.347,76.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,220.0,0.188,64.0,63,2,3.17,1.93 (1.64-2.21),61,96.83,5.27 (4.72-5.82),2.35,3.32
oligodendrocytes 0,613.0,0.204,91.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,116.0,0.201,4.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96),1.62,1.41
oligodendrocytes 2,348.0,0.254,69.0,114,2,1.75,2.53 (2.34-2.73),112,98.25,5.18 (4.77-5.59),4.38,4.39
