tipo_celular,module_size,DDHD2_MM,DDHD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,518.0,0.113,22.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1656.0,0.13,73.0,136,1,0.74,NA,135,99.26,3.21 (2.94-3.48),1.61,5.01
oligodendrocyte progenitor cells 7,4285.0,0.128,38.0,353,13,3.68,1.53 (0.68-2.38),340,96.32,3.99 (3.81-4.17),34.56,7.05
GABA neurons expressing GLU receptors 22,848.0,0.24,62.0,262,3,1.15,3.18 (3.18-3.18),259,98.85,4.17 (3.92-4.42),12.18,4.01
GLU like neurons 17,637.0,0.069,7.0,91,8,8.79,1.47 (0.19-2.76),83,91.21,4.95 (4.47-5.43),3.77,2.99
da like neurons 11,197.0,0.085,6.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,80.0,0.174,56.0,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.088,18.0,297,3,1.01,2.53 (NA-NA),294,98.99,3.68 (3.47-3.88),5.86,5.51
oligodendrocytes 20,275.0,0.138,25.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,3052.0,0.171,76.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67),4.98,8.70
astrocytes 8,520.0,0.043,8.0,288,4,1.39,3.69 (2.70-4.68),284,98.61,4.18 (3.98-4.38),14.41,4.55
oligodendrocyte progenitor cells 12,3303.0,0.079,51.0,276,7,2.54,3.09 (1.59-4.58),269,97.46,3.55 (3.33-3.77),4.97,5.11
oligodendrocytes 10,806.0,0.107,30.0,261,5,1.92,3.68 (3.08-4.28),256,98.08,4.38 (4.14-4.63),7.57,6.04
connective tissue cells 21,77.0,0.307,60.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60),NA,3.00
astrocytes 15,1768.0,0.094,57.0,105,1,0.95,2.53 (NA-NA),104,99.05,3.22 (2.88-3.56),7.28,3.95
oligodendrocytes 16,104.0,0.158,8.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA,1.45,NA
da neurons 6,448.0,0.096,42.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,140.0,0.389,91.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,1807.0,0.176,95.0,104,2,1.92,1.54 (-0.41-3.48),102,98.08,2.89 (2.61-3.17),24.12,5.03
oligodendrocytes 0,2078.0,0.127,77.0,238,2,0.84,2.53 (NA-NA),236,99.16,3.64 (3.42-3.86),6.31,5.01
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.073,30.0,15,5,33.33,0.91 (0.08-1.73),10,66.67,4.82 (3.51-6.13),2.82,1.92
oligodendrocytes 2,1630.0,0.122,16.0,154,1,0.65,NA,153,99.35,3.24 (2.98-3.51),1.64,3.61
