tipo_celular,module_size,RNPC3_MM,RNPC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.164,25.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,282.0,0.177,52.0,12,1,8.33,4.40 (NA-NA),11,91.67,3.20 (1.99-4.41),1.71,5.71
astrocytes 5,328.0,0.093,10.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,4285.0,0.132,46.0,353,38,10.76,1.87 (1.51-2.22),315,89.24,4.22 (4.04-4.39),29.04,5.53
GABA neurons expressing GLU receptors 22,823.0,0.202,65.0,23,2,8.7,2.03 (0.03-4.04),21,91.3,2.44 (1.65-3.24),1.78,3.58
GLU like neurons 17,1247.0,0.179,76.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,200.0,0.176,46.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.113,39.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,938.0,0.109,41.0,169,4,2.37,1.13 (0.16-2.10),165,97.63,3.55 (3.34-3.76),7.75,5.31
GABA like neurons 14,1300.0,0.294,86.0,306,1,0.33,0.21 (NA-NA),305,99.67,5.12 (4.85-5.38),2.50,6.72
astrocytes 8,354.0,0.042,7.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303.0,0.041,8.0,276,25,9.06,1.84 (1.51-2.17),251,90.94,3.77 (3.55-4.00),14.33,4.19
oligodendrocytes 10,2107.0,0.136,46.0,358,38,10.61,1.87 (1.51-2.22),320,89.39,4.19 (4.01-4.38),34.18,6.54
connective tissue cells 21,104.0,0.274,39.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.152,92.0,105,24,22.86,1.92 (1.52-2.32),81,77.14,3.64 (3.26-4.01),6.60,3.20
oligodendrocytes 16,66.0,0.087,0.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,255.0,0.26,52.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01),NA,3.33
astrocytes 4,752.0,0.132,21.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186.0,0.092,3.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,1615.0,0.134,80.0,161,29,18.01,1.46 (1.13-1.78),132,81.99,3.78 (3.53-4.04),13.50,3.66
oligodendrocytes 3,357.0,0.079,36.0,127,6,4.72,3.31 (2.87-3.76),121,95.28,3.11 (2.76-3.46),6.40,4.13
oligodendrocytes 2,407.0,0.092,3.0,122,23,18.85,1.49 (1.12-1.85),99,81.15,3.91 (3.50-4.32),3.60,2.49
