tipo_celular,module_size,MARK2_MM,MARK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.215,78.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,727.0,0.18,78.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,932.0,0.121,68.0,80,3,3.75,3.84 (3.13-4.55),77,96.25,3.66 (3.24-4.09),2.00,4.39
oligodendrocyte progenitor cells 7,4285.0,0.138,54.0,353,57,16.15,2.41 (2.05-2.76),296,83.85,4.27 (4.09-4.46),19.60,5.84
GABA neurons expressing GLU receptors 22,487.0,0.101,6.0,73,3,4.11,1.56 (1.55-1.57),70,95.89,2.81 (2.42-3.21),3.16,7.51
GLU like neurons 17,1247.0,0.071,10.0,51,2,3.92,2.89 (1.14-4.63),49,96.08,3.66 (3.06-4.26),2.87,3.25
da like neurons 11,215.0,0.197,54.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.058,2.0,297,9,3.03,4.37 (2.41-6.34),288,96.97,3.66 (3.45-3.86),3.39,5.58
oligodendrocytes 20,348.0,0.113,46.0,33,10,30.3,3.60 (3.19-4.00),23,69.7,2.30 (1.68-2.93),2.75,3.66
GABA like neurons 14,2090.0,0.138,38.0,74,3,4.05,2.56 (1.82-3.29),71,95.95,2.96 (2.57-3.35),3.15,10.81
astrocytes 8,577.0,0.101,61.0,83,6,7.23,2.22 (1.54-2.89),77,92.77,3.35 (2.87-3.83),2.58,4.62
oligodendrocyte progenitor cells 12,3303.0,0.059,25.0,276,53,19.2,2.59 (2.29-2.88),223,80.8,3.85 (3.59-4.10),9.36,4.10
oligodendrocytes 10,2107.0,0.089,22.0,358,55,15.36,2.27 (1.89-2.65),303,84.64,4.26 (4.07-4.45),23.03,7.01
connective tissue cells 21,111.0,0.252,31.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,1401.0,0.079,44.0,96,24,25.0,4.03 (3.29-4.78),72,75.0,3.44 (2.89-3.99),3.57,3.87
oligodendrocytes 16,122.0,0.254,81.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06),NA,1.95
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,101.0,0.187,3.0,6,1,16.67,3.65 (NA-NA),5,83.33,4.57 (2.52-6.62),1.61,3.19
astrocytes 4,721.0,0.175,88.0,61,3,4.92,2.51 (0.99-4.04),58,95.08,2.99 (2.56-3.42),2.49,6.20
oligodendrocytes 0,1186.0,0.107,8.0,300,17,5.67,4.43 (3.69-5.17),283,94.33,3.76 (3.55-3.97),5.33,4.08
microglia 1,1615.0,0.108,48.0,161,44,27.33,2.44 (1.99-2.88),117,72.67,3.69 (3.39-3.99),10.28,3.61
oligodendrocytes 3,854.0,0.076,34.0,76,11,14.47,3.09 (2.23-3.95),65,85.53,2.72 (2.37-3.08),2.75,5.05
oligodendrocytes 2,407.0,0.122,16.0,122,29,23.77,1.84 (1.31-2.37),93,76.23,3.97 (3.56-4.39),3.17,2.55
