tipo_celular,module_size,SUPT3H_MM,SUPT3H_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.145,40.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,388.0,0.123,33.0,84,8,9.52,2.41 (2.26-2.55),76,90.48,3.04 (2.68-3.40),2.22,4.54
astrocytes 5,1141.0,0.176,94.0,166,40,24.1,2.28 (1.99-2.58),126,75.9,3.85 (3.56-4.14),6.11,4.05
oligodendrocyte progenitor cells 7,448.0,0.105,24.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,459.0,0.209,70.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51),3.19,4.11
GLU like neurons 17,1316.0,0.139,63.0,101,1,0.99,2.83 (NA-NA),100,99.01,3.05 (2.70-3.41),2.12,3.06
da like neurons 11,77.0,0.311,58.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,7.10
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.215,94.0,297,9,3.03,3.66 (3.02-4.30),288,96.97,3.67 (3.46-3.88),5.98,5.50
oligodendrocytes 20,938.0,0.096,35.0,169,2,1.18,0.76 (-0.33-1.85),167,98.82,3.52 (3.31-3.74),3.69,5.38
GABA like neurons 14,1300.0,0.238,64.0,306,7,2.29,1.77 (0.69-2.86),299,97.71,5.21 (4.95-5.46),4.59,6.76
astrocytes 8,262.0,0.215,81.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,153.0,0.346,29.0,27,0,0.0,NA,27,100.0,4.76 (3.76-5.76),NA,2.15
oligodendrocytes 10,2107.0,0.349,94.0,358,77,21.51,2.34 (2.08-2.59),281,78.49,4.48 (4.28-4.67),22.62,5.87
connective tissue cells 21,102.0,0.279,47.0,5,3,60.0,1.38 (1.02-1.75),2,40.0,NA,1.33,1.53
astrocytes 15,1768.0,0.096,58.0,105,21,20.0,2.14 (1.61-2.67),84,80.0,3.51 (3.13-3.88),6.79,3.28
oligodendrocytes 16,81.0,0.269,92.0,3,0,0.0,NA,3,100.0,NA,NA,2.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,141.0,0.15,2.0,30,0,0.0,NA,30,100.0,5.66 (4.78-6.55),NA,4.05
astrocytes 4,752.0,0.192,95.0,96,11,11.46,2.45 (2.06-2.84),85,88.54,3.43 (3.06-3.80),2.34,4.58
oligodendrocytes 0,1186.0,0.173,89.0,300,14,4.67,3.24 (2.90-3.58),286,95.33,3.83 (3.61-4.04),3.90,4.17
microglia 1,813.0,0.135,70.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,854.0,0.183,98.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,347.0,0.167,35.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
