tipo_celular,module_size,WASHC1_MM,WASHC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.117,22.0,97,1,1.03,2.86 (NA-NA),96,98.97,3.06 (2.66-3.45),2.39,4.93
T cells 18,282.0,0.06,2.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,932.0,0.075,6.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07),2.07,4.33
oligodendrocyte progenitor cells 7,628.0,0.131,25.0,164,11,6.71,4.03 (3.19-4.86),153,93.29,4.09 (3.74-4.44),3.00,7.85
GABA neurons expressing GLU receptors 22,823.0,0.208,70.0,23,3,13.04,2.38 (1.03-3.73),20,86.96,2.40 (1.55-3.24),1.82,3.66
GLU like neurons 17,1247.0,0.156,66.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,168.0,0.115,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.113,24.0,62,4,6.45,5.87 (5.71-6.03),58,93.55,3.90 (3.44-4.36),2.05,4.36
oligodendrocytes 20,322.0,0.232,84.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402.0,0.13,18.0,455,50,10.99,3.16 (2.64-3.69),405,89.01,4.53 (4.34-4.72),16.35,7.91
astrocytes 8,1266.0,0.057,23.0,66,19,28.79,2.20 (1.52-2.87),47,71.21,3.74 (3.29-4.19),3.10,2.89
oligodendrocyte progenitor cells 12,1049.0,0.13,68.0,235,10,4.26,3.81 (2.90-4.72),225,95.74,3.82 (3.58-4.06),3.87,7.78
oligodendrocytes 10,2107.0,0.14,48.0,358,54,15.08,2.87 (2.32-3.42),304,84.92,4.11 (3.92-4.29),17.25,8.09
connective tissue cells 21,106.0,0.2,9.0,9,2,22.22,3.37 (-2.73-9.48),7,77.78,4.02 (1.01-7.03),1.82,2.41
astrocytes 15,1768.0,0.107,69.0,105,21,20.0,2.35 (1.66-3.03),84,80.0,3.45 (3.08-3.82),5.30,3.65
oligodendrocytes 16,155.0,0.147,11.0,8,3,37.5,2.05 (-1.04-5.13),5,62.5,3.72 (-3.06-10.50),1.84,1.53
da neurons 6,398.0,0.087,13.0,138,32,23.19,3.70 (3.07-4.33),106,76.81,5.23 (4.81-5.65),2.85,2.70
astrocytes microglia 23,255.0,0.352,97.0,57,13,22.81,3.50 (2.91-4.10),44,77.19,2.39 (1.99-2.79),2.71,3.52
astrocytes 4,721.0,0.132,16.0,61,5,8.2,4.01 (1.70-6.32),56,91.8,2.87 (2.47-3.26),2.44,6.34
oligodendrocytes 0,613.0,0.089,4.0,127,7,5.51,2.13 (1.64-2.62),120,94.49,3.14 (2.69-3.59),3.30,6.45
microglia 1,1615.0,0.09,22.0,161,37,22.98,2.66 (2.05-3.26),124,77.02,3.50 (3.22-3.78),8.09,4.64
oligodendrocytes 3,681.0,0.05,8.0,87,18,20.69,1.86 (1.29-2.44),69,79.31,2.78 (2.49-3.07),4.44,4.19
oligodendrocytes 2,526.0,0.093,4.0,213,4,1.88,5.18 (3.94-6.43),209,98.12,3.96 (3.68-4.23),4.21,8.01
