tipo_celular,module_size,GARNL3_MM,GARNL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.109,14.0,32,6,18.75,4.37 (3.53-5.20),26,81.25,3.54 (2.57-4.50),6.57,2.93
T cells 18,349.0,0.2,55.0,68,2,2.94,5.16 (5.16-5.16),66,97.06,4.34 (3.76-4.91),2.15,3.35
astrocytes 5,117.0,0.131,33.0,28,0,0.0,NA,28,100.0,5.31 (4.72-5.89),NA,2.41
oligodendrocyte progenitor cells 7,4285.0,0.133,47.0,353,4,1.13,2.89 (0.29-5.48),349,98.87,3.90 (3.72-4.09),30.56,7.81
GABA neurons expressing GLU receptors 22,459.0,0.147,45.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41),NA,4.09
GLU like neurons 17,1247.0,0.148,60.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,145.0,0.199,42.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.232,56.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,330.0,0.173,51.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27),NA,3.13
GABA like neurons 14,1300.0,0.227,59.0,306,6,1.96,4.37 (3.53-5.20),300,98.04,5.11 (4.84-5.38),8.47,6.67
astrocytes 8,771.0,0.087,35.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,708.0,0.14,62.0,25,2,8.0,5.16 (5.16-5.16),23,92.0,2.63 (1.61-3.64),2.11,2.57
oligodendrocytes 10,1277.0,0.162,78.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,104.0,0.344,80.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,458.0,0.058,24.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,155.0,0.23,59.0,8,0,0.0,NA,8,100.0,2.72 (-0.13-5.56),NA,1.65
da neurons 6,398.0,0.096,18.0,138,6,4.35,3.96 (2.43-5.50),132,95.65,4.87 (4.49-5.25),4.40,2.66
astrocytes microglia 23,255.0,0.283,69.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01),NA,3.33
astrocytes 4,251.0,0.128,21.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86),NA,3.07
oligodendrocytes 0,479.0,0.174,66.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,1615.0,0.166,95.0,161,7,4.35,3.53 (1.98-5.08),154,95.65,3.26 (2.99-3.53),8.70,5.28
oligodendrocytes 3,639.0,0.18,90.0,15,2,13.33,0.61 (-0.07-1.28),13,86.67,3.81 (2.38-5.23),3.88,1.96
oligodendrocytes 2,237.0,0.23,59.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
