tipo_celular,module_size,COG5_MM,COG5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.2,70.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,388.0,0.172,63.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,1141.0,0.135,55.0,166,11,6.63,1.97 (1.10-2.83),155,93.37,3.51 (3.26-3.77),11.34,4.07
oligodendrocyte progenitor cells 7,448.0,0.107,25.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,1069.0,0.192,70.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,637.0,0.111,27.0,91,12,13.19,1.15 (0.63-1.67),79,86.81,5.27 (4.85-5.70),3.91,2.93
da like neurons 11,140.0,0.356,88.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.206,91.0,297,2,0.67,4.27 (3.13-5.40),295,99.33,3.67 (3.46-3.87),6.43,5.51
oligodendrocytes 20,330.0,0.267,81.0,36,3,8.33,2.29 (2.29-2.29),33,91.67,1.88 (1.51-2.26),5.35,2.93
GABA like neurons 14,1300.0,0.251,70.0,306,9,2.94,1.82 (1.29-2.35),297,97.06,5.24 (4.99-5.50),4.20,6.78
astrocytes 8,283.0,0.294,97.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,143.0,0.44,56.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107.0,0.411,98.0,358,26,7.26,2.04 (1.44-2.63),332,92.74,4.06 (3.87-4.25),33.51,7.59
connective tissue cells 21,116.0,0.229,19.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,1768.0,0.084,48.0,105,15,14.29,1.88 (1.28-2.49),90,85.71,3.46 (3.10-3.81),7.48,3.40
oligodendrocytes 16,65.0,0.136,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,137.0,0.181,4.0,188,11,5.85,1.46 (0.89-2.02),177,94.15,4.60 (4.27-4.93),3.68,7.36
astrocytes 4,752.0,0.148,42.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186.0,0.144,47.0,300,4,1.33,4.04 (2.57-5.52),296,98.67,3.79 (3.58-4.00),2.10,4.18
microglia 1,813.0,0.089,16.0,79,5,6.33,2.90 (2.07-3.73),74,93.67,3.12 (2.69-3.55),3.74,8.18
oligodendrocytes 3,854.0,0.167,96.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,804.0,0.197,88.0,84,7,8.33,1.21 (0.69-1.73),77,91.67,2.86 (2.52-3.21),2.88,3.44
