tipo_celular,module_size,KLF9_MM,KLF9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.085,7.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,610.0,0.109,18.0,98,25,25.51,1.57 (1.18-1.95),73,74.49,3.73 (3.43-4.03),7.98,2.69
astrocytes 5,423.0,0.171,64.0,80,5,6.25,4.24 (2.61-5.86),75,93.75,3.34 (2.84-3.83),3.03,5.15
oligodendrocyte progenitor cells 7,4285.0,0.202,100.0,353,45,12.75,1.77 (1.51-2.03),308,87.25,4.31 (4.14-4.48),24.67,5.64
GABA neurons expressing GLU receptors 22,487.0,0.306,78.0,73,6,8.22,1.48 (1.40-1.56),67,91.78,2.89 (2.48-3.30),2.61,7.75
GLU like neurons 17,637.0,0.088,17.0,91,9,9.89,1.04 (0.27-1.81),82,90.11,5.08 (4.63-5.53),3.51,3.01
da like neurons 11,145.0,0.084,10.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.284,64.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,298.0,0.041,10.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,577.0,0.105,63.0,83,7,8.43,3.55 (1.56-5.54),76,91.57,3.22 (2.76-3.68),2.10,4.69
oligodendrocyte progenitor cells 12,708.0,0.078,31.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277.0,0.034,4.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,142.0,0.291,34.0,55,6,10.91,0.94 (0.54-1.34),49,89.09,4.09 (3.23-4.96),2.52,3.38
astrocytes 15,268.0,0.06,33.0,10,3,30.0,3.92 (0.95-6.89),7,70.0,3.55 (1.24-5.86),1.44,1.65
oligodendrocytes 16,90.0,0.209,54.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228.0,0.105,60.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,58.0,0.383,90.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.167,40.0,95,5,5.26,1.30 (0.81-1.78),90,94.74,3.52 (3.09-3.95),3.16,4.72
oligodendrocytes 0,613.0,0.266,98.0,127,14,11.02,2.11 (1.76-2.46),113,88.98,3.25 (2.77-3.73),3.42,6.63
microglia 1,1615.0,0.091,23.0,161,42,26.09,1.74 (1.48-2.01),119,73.91,3.99 (3.72-4.25),10.71,3.57
oligodendrocytes 3,681.0,0.174,92.0,87,40,45.98,1.98 (1.74-2.21),47,54.02,3.19 (2.78-3.60),5.59,3.09
oligodendrocytes 2,921.0,0.233,100.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90),4.39,3.46
