tipo_celular,module_size,CLINT1_MM,CLINT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.114,19.0,71,1,1.41,0.21 (NA-NA),70,98.59,2.66 (2.25-3.07),1.95,3.60
T cells 18,624.0,0.265,97.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656.0,0.126,68.0,136,4,2.94,3.76 (3.01-4.50),132,97.06,3.19 (2.91-3.47),2.40,5.07
oligodendrocyte progenitor cells 7,4285.0,0.166,91.0,353,24,6.8,1.80 (1.33-2.27),329,93.2,4.09 (3.91-4.27),33.82,6.18
GABA neurons expressing GLU receptors 22,703.0,0.229,75.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,685.0,0.089,20.0,135,7,5.19,1.94 (1.05-2.82),128,94.81,3.26 (2.94-3.57),4.76,3.69
da like neurons 11,108.0,0.229,58.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.129,28.0,141,2,1.42,2.50 (1.68-3.31),139,98.58,2.97 (2.73-3.21),1.65,6.89
oligodendrocytes 20,250.0,0.312,84.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052.0,0.152,61.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.086,36.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.076,47.0,276,20,7.25,2.63 (2.08-3.18),256,92.75,3.63 (3.40-3.86),13.65,4.44
oligodendrocytes 10,2107.0,0.248,82.0,358,20,5.59,1.72 (1.17-2.27),338,94.41,4.03 (3.85-4.22),41.41,7.58
connective tissue cells 21,106.0,0.249,31.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,268.0,0.057,31.0,10,1,10.0,2.95 (NA-NA),9,90.0,3.80 (1.86-5.74),1.46,1.60
oligodendrocytes 16,121.0,0.247,74.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,448.0,0.076,18.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,54.0,0.296,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.159,76.0,104,17,16.35,2.35 (1.72-2.98),87,83.65,2.97 (2.66-3.28),11.59,4.19
oligodendrocytes 0,2078.0,0.125,73.0,238,7,2.94,3.21 (1.94-4.47),231,97.06,3.65 (3.43-3.88),4.56,5.04
microglia 1,813.0,0.116,50.0,79,5,6.33,2.64 (2.09-3.20),74,93.67,3.14 (2.71-3.57),3.50,8.20
oligodendrocytes 3,1003.0,0.057,10.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.137,40.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
