tipo_celular,module_size,CST3_MM,CST3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125,0.223,58.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,282,0.12,10.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,328,0.507,98.0,128,5,3.91,3.68 (2.40-4.96),123,96.09,3.56 (3.21-3.92),2.34,6.94
oligodendrocyte progenitor cells 7,628,0.471,99.0,164,10,6.1,3.61 (2.56-4.66),154,93.9,4.12 (3.78-4.46),5.51,7.66
GABA neurons expressing GLU receptors 22,400,0.213,59.0,24,10,41.67,1.66 (0.65-2.66),14,58.33,2.51 (2.06-2.96),4.75,2.75
GLU like neurons 17,685,0.298,92.0,135,28,20.74,2.49 (1.94-3.04),107,79.26,3.37 (3.02-3.71),4.22,3.63
da like neurons 11,1220,0.125,27.0,410,28,6.83,3.58 (3.06-4.11),382,93.17,4.29 (4.10-4.49),13.94,7.04
GABA neurons expressing GABA receptors 13,88,0.096,10.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,916,0.538,95.0,302,15,4.97,3.27 (2.33-4.21),287,95.03,4.02 (3.79-4.25),5.93,10.90
oligodendrocytes 20,271,0.153,39.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402,0.165,30.0,455,39,8.57,2.64 (2.06-3.23),416,91.43,4.52 (4.33-4.70),20.94,7.70
astrocytes 8,603,0.307,97.0,89,3,3.37,0.92 (0.81-1.03),86,96.63,2.85 (2.50-3.20),5.80,6.05
oligodendrocyte progenitor cells 12,1049,0.501,99.0,235,17,7.23,3.60 (2.89-4.32),218,92.77,3.83 (3.59-4.08),8.03,7.58
oligodendrocytes 10,483,0.305,83.0,129,3,2.33,4.06 (3.86-4.26),126,97.67,3.41 (3.01-3.81),6.31,19.50
connective tissue cells 21,301,0.609,94.0,158,19,12.03,4.13 (3.13-5.14),139,87.97,4.27 (3.87-4.67),5.66,7.26
astrocytes 15,443,0.1,12.0,9,2,22.22,0.95 (NA-NA),7,77.78,3.60 (2.32-4.88),3.73,1.79
oligodendrocytes 16,96,0.287,74.0,102,18,17.65,2.10 (1.43-2.77),84,82.35,3.59 (3.25-3.94),3.72,8.51
da neurons 6,729,0.131,38.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89),NA,8.52
astrocytes microglia 23,137,0.265,17.0,188,17,9.04,2.21 (1.61-2.80),171,90.96,4.65 (4.31-5.00),4.64,7.39
astrocytes 4,208,0.434,93.0,173,9,5.2,4.36 (2.80-5.93),164,94.8,3.77 (3.47-4.08),2.32,5.80
oligodendrocytes 0,546,0.11,16.0,252,45,17.86,2.79 (2.25-3.34),207,82.14,4.39 (4.14-4.65),11.55,7.49
microglia 1,406,0.418,81.0,278,8,2.88,4.52 (3.47-5.57),270,97.12,4.36 (4.08-4.64),2.54,6.86
oligodendrocytes 3,303,0.183,67.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,99,0.1,5.0,116,1,0.86,3.74 (NA-NA),115,99.14,3.96 (3.65-4.26),3.18,7.27
