tipo_celular,module_size,SOX5_MM,SOX5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.203,58.0,15,2,13.33,5.37 (5.21-5.53),13,86.67,5.89 (5.04-6.74),1.75,2.43
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.162,30.0,98,5,5.1,2.51 (1.37-3.64),93,94.9,4.73 (4.32-5.14),3.55,2.60
oligodendrocyte progenitor cells 7,436.0,0.123,47.0,219,11,5.02,3.81 (3.12-4.50),208,94.98,5.33 (5.03-5.62),8.32,4.42
GABA neurons expressing GLU receptors 22,459.0,0.234,76.0,165,10,6.06,2.73 (1.77-3.69),155,93.94,5.29 (4.95-5.63),4.50,4.06
GLU like neurons 17,685.0,0.245,84.0,135,19,14.07,1.37 (1.18-1.56),116,85.93,3.55 (3.24-3.87),3.99,3.71
da like neurons 11,408.0,0.164,48.0,25,5,20.0,0.98 (0.44-1.52),20,80.0,5.82 (4.60-7.04),2.09,2.32
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.283,75.0,54,3,5.56,5.19 (5.10-5.28),51,94.44,4.82 (4.15-5.48),1.48,5.24
oligodendrocytes 20,295.0,0.269,78.0,28,6,21.43,2.37 (1.95-2.80),22,78.57,2.14 (1.55-2.72),2.01,3.36
GABA like neurons 14,3052.0,0.095,15.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,260.0,0.524,100.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,411.0,0.428,93.0,103,4,3.88,3.48 (2.29-4.67),99,96.12,5.66 (5.27-6.04),3.17,3.08
oligodendrocytes 10,1277.0,0.166,79.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,82.0,0.171,7.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82),NA,1.85
astrocytes 15,418.0,0.152,53.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,149.0,0.297,74.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,166.0,0.446,93.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25),NA,4.49
astrocytes 4,220.0,0.21,76.0,63,18,28.57,3.54 (3.01-4.06),45,71.43,6.00 (5.37-6.64),4.32,2.88
oligodendrocytes 0,309.0,0.11,25.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,480.0,0.174,42.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,94.0,0.373,97.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,1630.0,0.088,1.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
