tipo_celular,module_size,ZBTB1_MM,ZBTB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.26,89.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,518.0,0.226,86.0,131,5,3.82,3.84 (2.99-4.69),126,96.18,3.04 (2.76-3.32),3.15,4.82
astrocytes 5,932.0,0.115,60.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07),1.98,4.36
oligodendrocyte progenitor cells 7,4285.0,0.176,96.0,353,65,18.41,2.21 (1.94-2.48),288,81.59,4.39 (4.21-4.57),18.92,5.61
GABA neurons expressing GLU receptors 22,714.0,0.17,45.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94),2.48,4.02
GLU like neurons 17,1247.0,0.071,10.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20),2.50,3.25
da like neurons 11,853.0,0.099,27.0,133,57,42.86,2.43 (2.10-2.75),76,57.14,4.04 (3.60-4.48),5.35,3.27
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.168,39.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58),2.42,4.30
oligodendrocytes 20,298.0,0.264,86.0,6,1,16.67,NA,5,83.33,0.26 (NA-NA),1.62,2.01
GABA like neurons 14,3052.0,0.127,39.0,125,2,1.6,3.13 (2.95-3.30),123,98.4,3.36 (3.03-3.69),3.66,8.69
astrocytes 8,1266.0,0.06,26.0,66,18,27.27,1.95 (1.36-2.54),48,72.73,3.81 (3.37-4.26),3.90,2.60
oligodendrocyte progenitor cells 12,708.0,0.133,59.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107.0,0.129,43.0,358,72,20.11,2.33 (2.03-2.62),286,79.89,4.40 (4.21-4.59),22.88,6.10
connective tissue cells 21,69.0,0.245,23.0,1,0,0.0,NA,1,100.0,NA,NA,1.82
astrocytes 15,1401.0,0.106,68.0,96,6,6.25,2.75 (1.93-3.57),90,93.75,3.68 (3.21-4.16),1.59,3.94
oligodendrocytes 16,121.0,0.185,30.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,255.0,0.329,93.0,57,6,10.53,2.67 (1.92-3.41),51,89.47,2.65 (2.26-3.04),1.70,3.52
astrocytes 4,721.0,0.143,35.0,61,4,6.56,2.35 (1.65-3.06),57,93.44,3.01 (2.57-3.45),2.53,6.27
oligodendrocytes 0,613.0,0.167,71.0,127,22,17.32,2.54 (2.09-2.98),105,82.68,3.21 (2.69-3.73),3.23,6.92
microglia 1,958.0,0.154,91.0,290,20,6.9,2.70 (2.18-3.23),270,93.1,3.92 (3.68-4.16),4.79,5.02
oligodendrocytes 3,357.0,0.089,45.0,127,6,4.72,3.63 (2.49-4.78),121,95.28,3.10 (2.76-3.44),5.31,4.18
oligodendrocytes 2,407.0,0.167,62.0,122,52,42.62,2.22 (1.89-2.54),70,57.38,4.65 (4.12-5.18),3.20,2.33
