tipo_celular,module_size,CFDP1_MM,CFDP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.117,5.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,610.0,0.123,27.0,98,15,15.31,1.42 (0.87-1.97),83,84.69,3.47 (3.16-3.78),10.85,2.80
astrocytes 5,499.0,0.09,5.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,666.0,0.128,22.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17),NA,5.84
GABA neurons expressing GLU receptors 22,703.0,0.248,83.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93),2.71,4.04
GLU like neurons 17,1247.0,0.064,7.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,215.0,0.133,28.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.128,24.0,302,2,0.66,0.97 (-0.53-2.46),300,99.34,4.01 (3.78-4.23),5.02,10.69
oligodendrocytes 20,279.0,0.218,52.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,3052.0,0.052,2.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266.0,0.043,8.0,66,15,22.73,1.56 (1.04-2.08),51,77.27,3.82 (3.42-4.23),4.41,2.52
oligodendrocyte progenitor cells 12,708.0,0.057,16.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107.0,0.141,49.0,358,27,7.54,2.07 (1.55-2.59),331,92.46,4.06 (3.87-4.25),33.46,7.52
connective tissue cells 21,84.0,0.28,69.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60),NA,1.83
astrocytes 15,1401.0,0.053,19.0,96,2,2.08,1.57 (1.57-1.57),94,97.92,3.67 (3.21-4.12),8.25,3.70
oligodendrocytes 16,91.0,0.209,49.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.057,3.0,182,2,1.1,1.57 (1.57-1.57),180,98.9,3.66 (3.41-3.92),3.49,8.58
astrocytes microglia 23,101.0,0.324,52.0,6,1,16.67,3.65 (NA-NA),5,83.33,4.57 (2.52-6.62),1.61,3.19
astrocytes 4,787.0,0.116,5.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,1186.0,0.134,32.0,300,4,1.33,2.49 (2.10-2.89),296,98.67,3.81 (3.61-4.02),4.27,4.15
microglia 1,813.0,0.094,21.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,1003.0,0.072,23.0,111,1,0.9,4.23 (NA-NA),110,99.1,3.29 (2.95-3.64),1.50,4.26
oligodendrocytes 2,804.0,0.134,28.0,84,7,8.33,2.22 (0.93-3.51),77,91.67,2.74 (2.40-3.09),2.45,3.48
