tipo_celular,module_size,STAM2_MM,STAM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.223,51.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,610.0,0.152,51.0,98,40,40.82,2.61 (2.13-3.08),58,59.18,3.54 (3.16-3.93),6.14,2.59
astrocytes 5,1656.0,0.105,33.0,136,6,4.41,3.45 (2.66-4.24),130,95.59,3.20 (2.91-3.48),3.08,5.08
oligodendrocyte progenitor cells 7,4285.0,0.165,90.0,353,59,16.71,2.85 (2.45-3.25),294,83.29,4.18 (3.98-4.37),21.43,5.38
GABA neurons expressing GLU receptors 22,1069.0,0.212,81.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,637.0,0.096,19.0,91,15,16.48,1.53 (0.96-2.11),76,83.52,5.40 (4.98-5.82),3.69,2.93
da like neurons 11,120.0,0.281,63.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.087,18.0,297,1,0.34,4.81 (NA-NA),296,99.66,3.67 (3.46-3.87),2.85,5.53
oligodendrocytes 20,253.0,0.029,2.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,3052.0,0.084,10.0,125,1,0.8,3.81 (NA-NA),124,99.2,3.35 (3.02-3.67),2.35,8.66
astrocytes 8,771.0,0.037,4.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,3303.0,0.046,12.0,276,44,15.94,2.85 (2.50-3.21),232,84.06,3.72 (3.47-3.98),12.21,3.76
oligodendrocytes 10,2107.0,0.049,5.0,358,58,16.2,2.79 (2.36-3.21),300,83.8,4.16 (3.96-4.36),21.64,7.12
connective tissue cells 21,118.0,0.335,72.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,1768.0,0.099,62.0,105,32,30.48,2.88 (2.29-3.46),73,69.52,3.38 (2.97-3.78),6.49,2.88
oligodendrocytes 16,112.0,0.232,84.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,53.0,0.312,47.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.184,96.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,2078.0,0.124,71.0,238,17,7.14,3.93 (3.07-4.80),221,92.86,3.61 (3.38-3.84),6.74,4.89
microglia 1,1615.0,0.111,51.0,161,33,20.5,2.45 (1.81-3.08),128,79.5,3.55 (3.28-3.82),11.96,3.75
oligodendrocytes 3,639.0,0.075,32.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13),2.83,1.91
oligodendrocytes 2,921.0,0.131,39.0,200,17,8.5,3.61 (2.98-4.24),183,91.5,3.62 (3.34-3.91),4.64,3.35
