tipo_celular,module_size,SEC24A_MM,SEC24A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.081,4.0,102,3,2.94,2.14 (0.67-3.61),99,97.06,3.54 (3.17-3.91),7.87,2.89
T cells 18,624.0,0.104,15.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656.0,0.107,36.0,136,14,10.29,3.98 (3.59-4.37),122,89.71,3.13 (2.84-3.42),3.02,5.21
oligodendrocyte progenitor cells 7,4285.0,0.133,47.0,353,30,8.5,2.30 (1.72-2.88),323,91.5,4.08 (3.90-4.26),22.06,6.76
GABA neurons expressing GLU receptors 22,714.0,0.069,2.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,1316.0,0.076,11.0,101,1,0.99,3.28 (NA-NA),100,99.01,3.05 (2.69-3.40),2.06,3.06
da like neurons 11,71.0,0.183,45.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.091,21.0,297,1,0.34,4.85 (NA-NA),296,99.66,3.67 (3.46-3.87),7.19,5.51
oligodendrocytes 20,358.0,0.018,2.0,31,5,16.13,3.66 (3.44-3.89),26,83.87,2.10 (1.65-2.55),1.79,4.23
GABA like neurons 14,2090.0,0.149,47.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,727.0,0.039,4.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.104,78.0,276,18,6.52,3.00 (2.33-3.68),258,93.48,3.59 (3.36-3.82),8.39,4.88
oligodendrocytes 10,2107.0,0.023,1.0,358,20,5.59,1.75 (1.17-2.34),338,94.41,4.03 (3.84-4.22),25.07,8.55
connective tissue cells 21,106.0,0.32,66.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09),1.92,2.32
astrocytes 15,367.0,0.15,54.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05),1.87,3.39
oligodendrocytes 16,71.0,0.109,5.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.312,60.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.147,55.0,104,16,15.38,2.83 (2.01-3.65),88,84.62,2.87 (2.57-3.17),6.81,5.14
oligodendrocytes 0,2078.0,0.119,59.0,238,13,5.46,3.52 (2.64-4.40),225,94.54,3.64 (3.42-3.87),5.75,4.98
microglia 1,958.0,0.081,8.0,290,6,2.07,2.52 (1.56-3.48),284,97.93,3.85 (3.62-4.08),4.82,5.00
oligodendrocytes 3,854.0,0.05,6.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630.0,0.121,15.0,154,3,1.95,5.02 (NA-NA),151,98.05,3.23 (2.97-3.50),2.00,3.62
