tipo_celular,module_size,THRB_MM,THRB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.27,87.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.134,53.0,166,43,25.9,2.33 (2.01-2.64),123,74.1,3.86 (3.57-4.15),5.94,4.06
oligodendrocyte progenitor cells 7,436.0,0.055,6.0,219,3,1.37,2.95 (2.58-3.31),216,98.63,5.26 (4.97-5.55),5.60,4.60
GABA neurons expressing GLU receptors 22,823.0,0.163,41.0,23,3,13.04,2.03 (0.03-4.04),20,86.96,2.44 (1.65-3.24),2.43,3.57
GLU like neurons 17,1316.0,0.148,71.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,289.0,0.328,94.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.215,58.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,322.0,0.329,94.0,10,1,10.0,5.51 (NA-NA),9,90.0,0.95 (0.38-1.52),1.43,5.54
GABA like neurons 14,1300.0,0.26,74.0,306,18,5.88,2.35 (1.84-2.86),288,94.12,5.34 (5.08-5.60),5.47,6.78
astrocytes 8,354.0,0.278,99.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,254.0,0.316,61.0,37,11,29.73,3.39 (2.75-4.03),26,70.27,5.11 (4.41-5.81),2.22,2.58
oligodendrocytes 10,1277.0,0.133,66.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,106.0,0.159,5.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA),NA,1.33
astrocytes 15,377.0,0.167,62.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45),2.71,2.35
oligodendrocytes 16,87.0,0.204,56.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,166.0,0.238,28.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25),NA,4.49
astrocytes 4,201.0,0.163,43.0,18,6,33.33,3.50 (3.01-3.98),12,66.67,5.16 (3.91-6.41),3.06,3.11
oligodendrocytes 0,309.0,0.088,6.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,1615.0,0.102,38.0,161,60,37.27,2.13 (1.86-2.40),101,62.73,4.17 (3.87-4.47),8.44,3.64
oligodendrocytes 3,242.0,0.166,67.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,347.0,0.24,68.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
