tipo_celular,module_size,RABEP1_MM,RABEP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.163,55.0,19,1,5.26,3.38 (NA-NA),18,94.74,2.47 (1.72-3.22),2.29,3.39
T cells 18,610,0.19,75.0,98,17,17.35,2.06 (1.28-2.85),81,82.65,3.37 (3.05-3.69),6.40,3.54
astrocytes 5,932,0.097,32.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06),1.90,4.33
oligodendrocyte progenitor cells 7,4285,0.122,30.0,353,28,7.93,2.30 (1.67-2.93),325,92.07,4.06 (3.88-4.25),21.52,6.90
GABA neurons expressing GLU receptors 22,1069,0.139,30.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247,0.098,24.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853,0.267,95.0,133,7,5.26,1.16 (0.19-2.12),126,94.74,3.39 (3.08-3.70),5.87,4.07
GABA neurons expressing GABA receptors 13,266,0.092,7.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,1653,0.112,37.0,297,2,0.67,4.85 (NA-NA),295,99.33,3.67 (3.46-3.87),4.47,5.53
oligodendrocytes 20,358,0.235,80.0,31,1,3.23,3.24 (NA-NA),30,96.77,2.33 (1.89-2.77),1.78,3.90
GABA like neurons 14,1300,0.181,37.0,306,11,3.59,2.62 (1.32-3.91),295,96.41,5.23 (4.98-5.49),3.87,6.81
astrocytes 8,1266,0.055,20.0,66,10,15.15,1.36 (0.45-2.27),56,84.85,3.62 (3.24-4.01),3.60,2.84
oligodendrocyte progenitor cells 12,708,0.078,31.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107,0.097,27.0,358,22,6.15,2.16 (1.39-2.94),336,93.85,4.01 (3.82-4.19),21.05,8.71
connective tissue cells 21,90,0.234,18.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29),NA,1.41
astrocytes 15,1401,0.124,79.0,96,2,2.08,2.86 (1.17-4.54),94,97.92,3.63 (3.17-4.09),3.60,3.80
oligodendrocytes 16,158,0.151,17.0,30,2,6.67,3.03 (0.90-5.17),28,93.33,2.27 (1.59-2.96),1.82,12.75
da neurons 6,553,0.148,65.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,190,0.308,75.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,721,0.129,13.0,61,3,4.92,2.86 (0.66-5.06),58,95.08,2.97 (2.55-3.39),2.53,6.20
oligodendrocytes 0,1186,0.137,36.0,300,2,0.67,3.29 (0.88-5.70),298,99.33,3.80 (3.59-4.00),1.71,4.17
microglia 1,346,0.184,69.0,43,5,11.63,4.36 (3.44-5.28),38,88.37,3.67 (3.11-4.24),3.50,4.61
oligodendrocytes 3,681,0.062,17.0,87,5,5.75,0.87 (0.33-1.41),82,94.25,2.70 (2.43-2.97),5.45,4.17
oligodendrocytes 2,407,0.12,13.0,122,11,9.02,1.64 (0.77-2.51),111,90.98,3.55 (3.15-3.95),3.19,2.65
