tipo_celular,module_size,NR2C1_MM,NR2C1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.229,63.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,624.0,0.133,34.0,142,1,0.7,4.27 (NA-NA),141,99.3,3.20 (2.93-3.47),1.62,4.32
astrocytes 5,1656.0,0.105,34.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57),7.46,4.87
oligodendrocyte progenitor cells 7,4285.0,0.146,67.0,353,49,13.88,1.97 (1.68-2.26),304,86.12,4.31 (4.14-4.49),22.06,5.81
GABA neurons expressing GLU receptors 22,848.0,0.165,30.0,262,4,1.53,0.70 (0.28-1.13),258,98.47,4.23 (3.99-4.47),3.43,4.11
GLU like neurons 17,380.0,0.123,18.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,265.0,0.104,15.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.12,44.0,297,1,0.34,2.04 (NA-NA),296,99.66,3.68 (3.48-3.88),5.84,5.52
oligodendrocytes 20,676.0,0.047,20.0,110,4,3.64,1.47 (0.35-2.60),106,96.36,5.18 (4.76-5.61),3.08,3.54
GABA like neurons 14,3052.0,0.163,70.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,260.0,0.125,54.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303.0,0.1,74.0,276,37,13.41,1.87 (1.64-2.10),239,86.59,3.90 (3.67-4.13),10.42,4.29
oligodendrocytes 10,2107.0,0.148,50.0,358,59,16.48,2.10 (1.80-2.40),299,83.52,4.37 (4.18-4.55),25.53,6.30
connective tissue cells 21,126.0,0.273,48.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74),2.15,1.68
astrocytes 15,208.0,0.015,0.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,92.0,0.342,98.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,124.0,0.366,78.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,787.0,0.179,92.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.131,83.0,238,11,4.62,2.39 (1.82-2.97),227,95.38,3.71 (3.48-3.93),6.99,4.93
microglia 1,1615.0,0.113,56.0,161,45,27.95,1.92 (1.62-2.22),116,72.05,3.97 (3.69-4.25),9.85,3.72
oligodendrocytes 3,1003.0,0.077,29.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.109,6.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
